cnh_cd,aacc_cd,coding_nm,size_nm,teaching_bl
470113,ES21,9568.88,937,True
180093,ES41,55876.25,1476,True
250209,ES43,13276.5,555,True
60016,ES23,25506.9,384,True
70366,ES52,60236.64,564,False
430173,ES30,30975.46,917,True
100115,ES43,26880.65,897,False
210123,ES52,92067.53,197,False
281168,ES63,22896.74,1113,False
430167,ES24,26641.38,358,False
460369,ES53,7905.45,774,True
480255,ES12,70037.19,1426,True
330313,ES21,65481.98,1090,False
300130,ES62,71962.6,746,False
200270,ES13,43746.17,590,False
280416,ES24,17161.6,1140,True
300217,ES62,81855.21,367,True
80364,ES64,18996.69,789,True
410107,ES21,9142.91,927,True
170118,ES63,42635.21,150,True
480176,ES23,223.85,1456,False
82246,ES22,88433.7,648,False
520018,ES43,83660.11,1078,True
430115,ES13,99340.18,1140,True
81885,ES42,28447.5,237,False
80446,ES41,56724.5,1120,True
240140,ES43,96564.41,106,False
80044,ES42,27147.86,1402,False
360216,ES11,49964.35,1180,False
170101,ES53,70449.8,350,False
150354,ES70,39915.54,1430,True
81580,ES23,41805.87,928,False
280323,ES30,75726.19,456,False
81108,ES64,69814.11,666,True
500223,ES64,34120.35,827,True
460381,ES64,53773.51,338,True
150308,ES52,74048.35,1304,False
280112,ES52,68917.14,271,True
440027,ES62,91967.48,966,True
81094,ES12,35943.27,1322,True
300196,ES52,38986.91,508,True
170301,ES13,77006.5,1068,False
82034,ES53,6881.44,298,False
82190,ES41,57744.29,910,True
240205,ES22,64290.21,265,True
170160,ES24,49878.39,619,False
300032,ES43,320.9,1233,False
290038,ES63,62941.5,1326,True
480316,ES30,39114.54,328,False
81120,ES13,89495.61,294,False
70162,ES61,24324.51,1433,False
280650,ES62,82366.61,334,False
20100,ES64,20603.36,1080,False
330306,ES62,77529.47,1131,True
81740,ES53,85881.76,568,False
340040,ES52,45414.26,848,False
30339,ES12,22148.66,1417,False
80706,ES24,74452.58,737,True
30250,ES30,87596.6,1100,False
170101,ES62,86486.3,450,False
290206,ES53,95099.59,832,False
360209,ES30,86600.13,120,False
81192,ES42,3527.46,236,False
280468,ES42,62366.8,131,False
82224,ES42,18352.75,1364,True
410432,ES62,43486.44,241,True
310060,ES51,98773.96,1001,False
280225,ES12,37965.38,842,True
290228,ES41,89329.87,945,False
290348,ES41,76423.42,617,True
460381,ES23,73774.37,908,False
30250,ES24,73731.24,595,True
110223,ES13,66736.95,1237,False
430056,ES41,36573.9,658,True
280474,ES11,69996.88,414,True
280565,ES42,78932.26,381,True
350115,ES43,44516.65,645,True
120136,ES12,43808.41,686,False
81574,ES21,60034.34,491,False
80958,ES63,11135.97,1128,False
100073,ES43,69110.75,1099,True
250221,ES64,76353.7,558,False
370055,ES41,15678.31,1303,False
330143,ES21,33705.47,752,False
140023,ES61,17967.3,261,True
60297,ES41,51713.4,281,False
430120,ES11,87115.5,1229,False
320126,ES23,27355.85,569,True
140044,ES13,20291.4,996,False
460109,ES61,67587.45,716,False
80229,ES11,56958.65,858,True
70366,ES64,9043.97,674,True
250209,ES30,39998.33,920,True
170176,ES23,91498.62,160,True
81874,ES63,75997.28,743,False
81795,ES24,45579.64,649,True
80497,ES70,10862.83,589,True
350206,ES23,2379.87,350,True
510039,ES22,76683.42,1373,False
80214,ES64,73948.29,421,False
410483,ES62,21303.61,131,False
480182,ES70,65459.87,1496,True
281281,ES12,88574.17,1361,False
100106,ES62,69771.79,155,False
460137,ES43,81246.8,1255,False
30279,ES53,19075.68,122,True
300217,ES24,31887.88,89,True
81287,ES63,21528.64,595,False
330254,ES41,98885.64,754,True
90085,ES64,90616.99,1049,True
60297,ES11,51531.41,431,True
280395,ES30,16898.9,577,True
150365,ES51,73626.72,772,False
380033,ES21,70134.78,807,True
480160,ES43,78538.57,254,True
380027,ES24,5359.47,268,False
260110,ES43,9003.47,119,True
81784,ES63,99994.86,1206,True
120148,ES64,53529.5,1413,False
300243,ES51,79173.78,968,False
90098,ES23,9293.4,708,True
290017,ES11,29874.79,657,True
60093,ES63,25977.44,937,False
230047,ES41,68322.88,1235,False
82145,ES42,49779.75,1290,False
250117,ES41,64590.6,1248,False
290213,ES22,3911.57,487,False
410248,ES11,10509.37,1298,True
170118,ES21,55888.43,1427,False
500107,ES52,19384.62,82,False
80734,ES53,88724.96,323,False
220036,ES53,85300.3,333,False
330313,ES70,90841.3,1075,True
220015,ES64,96683.45,937,False
480025,ES13,77520.47,614,False
80137,ES24,54395.22,50,True
170123,ES63,9786.81,1085,True
330325,ES30,2334.27,1264,True
120115,ES30,25749.77,1092,False
200126,ES12,81319.7,475,False
280534,ES13,95767.18,270,False
230119,ES22,65779.16,1386,True
380012,ES51,88377.32,735,False
90155,ES21,85360.95,939,True
300119,ES64,6489.76,1362,True
280534,ES61,61347.46,547,True
480293,ES41,78349.93,1145,False
370016,ES61,48731.36,1357,True
210025,ES21,51990.52,1393,False
82012,ES64,48217.29,897,True
410454,ES24,37390.1,993,False
450133,ES62,40992.74,1013,True
30373,ES12,34865.15,146,True
500114,ES51,71332.76,181,False
470113,ES13,4640.27,1474,False
300373,ES53,69990.73,1362,False
30152,ES22,77799.47,1343,False
80641,ES11,70411.23,270,True
220089,ES11,42236.37,281,True
30128,ES43,47560.34,734,True
310150,ES70,93342.88,1196,False
280262,ES24,84237.22,587,True
80667,ES30,59882.21,1309,True
480010,ES52,423.69,610,True
170176,ES24,91182.52,992,True
320126,ES52,31329.24,202,True
81069,ES51,58161.34,1147,False
40010,ES42,95280.22,665,True
280468,ES30,46381.94,1387,True
281385,ES41,76855.52,1381,False
80214,ES63,69484.62,1448,False
240188,ES64,98928.76,187,True
230047,ES13,76966.61,587,False
81458,ES12,62940.65,354,True
220036,ES41,58363.92,778,True
290449,ES22,95736.94,1078,False
290517,ES52,48893.79,102,True
330241,ES42,13445.91,810,False
150336,ES42,88473.67,183,False
330175,ES30,52629.74,139,False
170323,ES62,16651.13,90,True
130071,ES21,61519.62,999,True
460057,ES41,12682.69,1125,False
300243,ES41,73101.16,1088,False
350173,ES30,33541.3,668,True
380178,ES61,91554.9,75,True
420026,ES64,43949.5,140,True
330175,ES24,38481.91,305,False
330292,ES12,68444.45,1047,True
80879,ES42,53147.7,811,False
440027,ES51,24686.77,1491,False
280936,ES52,61987.86,478,True
350271,ES52,88446.59,426,True
30384,ES13,41883.56,690,False
180016,ES52,68795.13,1395,True
290252,ES42,70670.59,354,False
80370,ES21,11255.9,136,True
280647,ES63,25881.22,170,True
281385,ES63,79653.42,1033,False
281157,ES70,22629.48,243,False
170062,ES12,35585.88,1155,True
480097,ES62,26161.33,516,True
80958,ES30,3851.2,305,False
470105,ES70,86734.4,618,True
230026,ES30,78921.12,642,False
60140,ES21,5930.7,394,False
81706,ES30,89082.33,631,False
380048,ES70,55573.41,87,True
340029,ES21,44558.39,88,False
380276,ES52,77642.55,985,False
360216,ES43,93686.73,1482,False
290069,ES51,89162.21,194,True
380244,ES52,49250.5,313,False
480274,ES61,1160.37,487,False
130127,ES11,78197.76,1465,True
380086,ES52,37185.9,195,True
80386,ES42,41500.78,1049,True
80689,ES51,32616.19,100,True
80060,ES23,25467.78,1051,False
350252,ES13,59368.77,1390,False
80351,ES61,58330.53,998,True
470029,ES62,65777.43,885,True
400058,ES53,68564.34,731,False
370037,ES24,57025.5,461,False
410016,ES21,34034.87,1219,False
82034,ES43,75293.63,1373,True
280210,ES41,41306.31,398,True
450122,ES30,37513.2,452,False
82134,ES61,21484.52,1401,True
330077,ES23,20660.4,719,False
280724,ES22,30481.73,1244,False
80214,ES13,71456.45,1365,True
240191,ES64,82336.69,224,False
410432,ES13,27036.55,361,True
20158,ES42,58231.3,667,False
300317,ES23,72073.51,779,False
81874,ES23,9068.91,1020,True
80214,ES62,94036.8,903,True
470113,ES62,9281.31,1121,False
380282,ES70,84732.48,662,False
81964,ES42,93548.62,645,True
260027,ES53,49768.99,865,True
281258,ES12,31128.88,212,True
140229,ES62,39678.65,361,True
180074,ES43,42896.66,659,False
40127,ES70,67944.57,1215,False
460288,ES11,86434.87,1214,False
200185,ES42,8420.38,630,True
82134,ES52,3423.64,1364,False
290287,ES23,23669.18,1240,False
290416,ES22,19250.48,890,True
150200,ES22,56133.22,440,False
290472,ES21,69145.17,1412,True
350367,ES22,39502.12,559,True
280796,ES12,64027.69,905,False
170301,ES24,44021.76,1244,True
170062,ES52,17505.34,482,False
380201,ES51,56486.95,608,False
81022,ES23,61866.35,1127,False
480059,ES64,41349.21,748,True
300275,ES62,8641.56,809,False
280360,ES70,30183.56,1441,True
350252,ES12,32735.96,536,True
80556,ES30,8757.34,354,False
70184,ES21,20469.8,740,True
81213,ES21,73582.35,613,False
500093,ES52,18988.5,452,False
281438,ES64,28556.25,1080,True
80266,ES21,73457.66,465,False
200132,ES41,19159.27,633,False
80348,ES62,44907.92,1220,True
460180,ES42,88907.79,189,True
80155,ES24,54154.86,1316,True
70412,ES64,242.66,1218,True
420011,ES43,45388.24,1054,True
170299,ES22,84034.28,89,True
290472,ES22,72530.2,199,True
150050,ES42,2314.46,1376,False
81192,ES42,57706.3,556,False
81136,ES30,89456.97,926,False
81069,ES70,1451.53,84,True
80229,ES12,55358.63,1294,False
100041,ES22,55275.42,700,True
410386,ES22,84998.74,763,False
150354,ES64,67965.31,332,True
330096,ES52,99227.75,910,False
81458,ES63,75521.99,1143,False
80556,ES62,94365.72,1229,False
260027,ES70,63547.39,1341,False
460351,ES70,61454.75,263,False
280843,ES63,2236.2,1426,True
500218,ES64,38283.89,1443,False
500055,ES52,74288.15,649,False
330332,ES62,59286.73,224,False
470029,ES23,99515.31,801,False
130065,ES62,51802.53,160,True
520018,ES43,27443.5,359,True
81228,ES24,56533.5,1220,False
80850,ES24,14617.52,687,False
280894,ES23,23329.22,710,False
410397,ES21,79898.9,309,False
30041,ES13,94495.47,490,False
81728,ES70,22353.95,1460,False
380359,ES41,99348.29,554,True
430115,ES41,8292.65,813,False
250175,ES24,49798.4,987,False
410093,ES23,16647.34,699,True
310076,ES70,88452.64,815,False
81683,ES42,3770.44,874,True
330322,ES52,66638.7,509,False
350265,ES11,36001.93,151,False
300351,ES11,67858.2,852,False
150336,ES62,5922.52,1240,True
80266,ES21,63075.3,1116,True
410375,ES30,92735.96,1299,True
290472,ES13,37793.23,266,False
480097,ES11,30238.79,300,True
20030,ES24,64222.73,1474,True
80885,ES53,8098.37,948,False
290252,ES63,31902.57,354,False
82012,ES64,60158.22,87,False
180093,ES63,34517.2,1121,False
220089,ES41,54713.82,951,True
450015,ES42,97196.39,1103,False
460057,ES70,68450.1,1490,False
40118,ES51,38290.83,382,False
280376,ES64,42738.8,613,False
410386,ES51,77955.26,963,True
230151,ES51,24319.89,617,False
430043,ES52,4260.83,1083,False
410483,ES42,40285.8,1354,False
80863,ES13,96818.77,656,False
300339,ES63,65497.2,68,False
300032,ES11,55677.2,442,True
330138,ES62,56983.82,801,False
480025,ES23,44440.79,816,False
40118,ES52,37594.12,263,False
300196,ES52,10481.73,1142,True
350326,ES41,96216.53,1467,False
460369,ES62,74691.42,1192,True
20061,ES24,69136.9,852,True
350311,ES43,78850.4,826,True
260110,ES30,86298.52,155,True
80291,ES43,57962.67,552,False
280072,ES61,23944.51,959,True
81000,ES53,13978.71,1089,False
60140,ES52,67837.42,52,False
90155,ES62,85429.75,74,True
480078,ES21,67914.68,465,False
60129,ES61,24919.83,1252,False
81081,ES42,67857.12,839,True
300119,ES63,51956.11,528,True
460288,ES41,41673.89,909,False
60286,ES51,67223.16,274,False
170176,ES53,83567.9,217,True
350167,ES12,84092.82,172,True
280745,ES63,43299.92,258,False
160053,ES42,80464.61,685,True
60037,ES21,34351.98,1200,True
380244,ES23,10006.8,161,False
320163,ES61,78999.57,441,False
480255,ES53,80118.1,1131,False
470105,ES62,46262.4,996,False
290038,ES23,77683.78,1156,False
220020,ES42,28350.13,1266,False
470053,ES23,87055.57,900,False
300032,ES64,91872.7,1488,True
330376,ES21,23475.73,402,True
350120,ES64,5438.34,325,False
81829,ES22,65831.86,263,False
70344,ES11,98862.74,804,True
360268,ES30,52436.39,530,True
240135,ES24,75781.79,722,True
60253,ES64,4232.84,366,True
280278,ES62,75080.82,295,True
81580,ES23,44224.69,1173,True
140082,ES11,44922.94,606,False
290206,ES41,27855.11,359,False
460240,ES11,67973.98,524,True
430069,ES12,31954.12,1499,False
370016,ES23,39291.2,1396,False
330332,ES52,8952.1,829,True
130052,ES23,3659.38,1205,True
80543,ES13,73082.78,94,False
280421,ES13,45278.79,541,False
280421,ES22,89204.8,260,True
460426,ES52,56515.78,498,False
300119,ES12,2365.5,1360,True
281427,ES70,59731.11,58,False
81953,ES53,28586.1,1012,True
70333,ES11,45669.82,1211,False
100073,ES52,43867.45,399,True
281359,ES13,50889.45,1190,False
80312,ES52,91154.12,981,False
410021,ES11,4094.16,1264,False
30165,ES61,17517.57,681,False
170031,ES64,46966.9,1450,True
80174,ES51,97603.16,656,True
410251,ES70,12639.7,1210,True
300373,ES63,34897.72,1240,True
200258,ES23,20779.4,1310,False
10053,ES51,81075.43,529,False
130049,ES51,73430.78,600,True
280112,ES30,64715.76,698,True
480084,ES24,10776.64,1215,True
480059,ES21,98430.55,61,True
80168,ES23,88362.46,222,False
480268,ES21,2350.53,910,False
81075,ES42,41270.24,1349,False
180150,ES12,71003.21,600,False
480316,ES11,81854.73,935,True
380064,ES61,30049.9,631,False
80478,ES30,55494.21,1274,False
80253,ES51,81922.55,1360,True
80556,ES23,91882.63,202,True
160053,ES30,85875.17,582,True
40059,ES63,49722.64,1070,False
430017,ES63,87325.6,1482,True
390041,ES43,93917.73,387,True
200049,ES22,50538.39,1147,False
81326,ES70,74707.35,975,False
250175,ES12,34045.18,318,True
281090,ES21,46894.16,1114,True
40127,ES11,91186.84,650,False
330387,ES11,34239.78,728,False
350069,ES30,40826.31,723,False
460082,ES63,38704.21,645,False
90047,ES63,20313.77,1468,True
200111,ES52,82919.74,712,True
80930,ES64,97011.58,343,False
280225,ES41,7675.33,452,True
280552,ES51,54989.47,656,False
350167,ES22,6525.44,468,True
340035,ES64,83558.99,950,True
70048,ES11,92251.1,1464,False
50013,ES23,66438.4,1152,False
20117,ES52,25857.78,167,True
190030,ES41,40177.24,51,False
250138,ES30,62376.86,1045,False
10053,ES64,50834.83,833,False
140230,ES30,88649.86,1428,True
470014,ES13,36995.4,790,True
200126,ES30,73543.49,1269,False
80168,ES22,54481.34,872,False
460023,ES63,58404.83,1380,False
480046,ES41,68025.7,1318,True
280745,ES41,79131.8,1025,True
270109,ES13,80777.42,696,True
280587,ES24,33680.24,423,True
281326,ES64,41328.12,986,False
400058,ES11,52819.79,1335,False
330061,ES64,47853.46,551,False
30362,ES30,55978.37,879,True
280528,ES53,50960.52,1088,False
220015,ES23,88448.36,455,False
281385,ES53,33677.91,71,True
80370,ES52,79634.21,366,True
170288,ES23,59545.72,769,True
90133,ES42,47048.25,1002,True
480078,ES42,66640.88,211,False
410496,ES41,23995.7,895,True
300145,ES23,49423.72,1364,True
81885,ES62,59537.74,1162,False
40101,ES53,82887.99,328,False
81739,ES23,17383.3,838,False
230119,ES11,49224.38,1137,True
230119,ES52,48761.52,231,True
320087,ES43,79839.32,389,False
460291,ES22,29275.41,450,True
430022,ES64,72777.56,912,True
90079,ES24,41127.84,1442,True
281304,ES13,16235.8,422,True
330354,ES53,97732.21,152,False
280800,ES63,94420.71,1354,False
20147,ES41,32887.22,705,False
81672,ES42,53006.57,1467,False
270057,ES42,34131.97,144,True
82145,ES24,36269.57,955,False
70131,ES21,11913.21,944,False
480160,ES11,68521.58,680,False
350167,ES51,64259.85,1470,False
80410,ES23,90605.6,390,False
280029,ES22,7602.81,1039,False
70064,ES30,39449.96,552,False
30298,ES22,27773.48,1340,False
300124,ES21,17386.52,237,True
10088,ES51,81134.74,342,True
82236,ES53,9330.24,1128,False
180122,ES42,20014.37,815,True
81347,ES23,48875.37,514,True
460415,ES41,23681.74,1138,True
280127,ES24,70598.55,1252,True
230098,ES12,61553.6,1355,True
80327,ES42,31683.73,1404,False
220105,ES12,75852.98,822,False
80930,ES41,62582.5,316,False
200049,ES12,12580.2,692,True
350252,ES53,79638.6,260,False
330387,ES11,15057.12,1045,True
210123,ES12,19211.16,1486,False
80636,ES21,16260.6,474,False
280777,ES11,48546.13,1457,True
81574,ES23,73706.2,682,True
410386,ES24,10654.99,1163,False
170221,ES64,27001.17,1369,False
250169,ES13,41104.48,762,False
350154,ES63,33604.78,1331,False
300222,ES12,95577.54,406,True
300196,ES42,89908.37,1260,False
320150,ES21,83101.46,139,False
280409,ES21,58864.29,1293,False
500016,ES64,8363.4,1364,False
82213,ES64,6293.26,142,True
170123,ES62,90917.38,272,True
281382,ES63,82670.94,302,True
30152,ES63,52639.67,415,False
170301,ES11,49144.85,802,True
460137,ES62,68905.63,500,False
480078,ES13,96020.39,1381,False
40127,ES51,33655.87,791,True
390041,ES62,21796.23,408,False
170237,ES64,41590.77,1187,False
280989,ES30,2733.5,748,False
410397,ES43,44938.99,205,True
240140,ES24,67256.42,1135,True
480031,ES64,80107.46,1172,True
100041,ES42,59594.97,331,False
160053,ES23,16123.55,734,True
290290,ES62,10619.97,1077,False
300161,ES52,86704.37,307,True
280936,ES51,83261.53,1459,True
480031,ES11,68087.13,1191,False
120160,ES70,93139.41,680,True
81580,ES11,17878.5,148,True
410454,ES43,35176.61,999,False
350167,ES64,5617.48,1136,True
80713,ES21,878.52,1275,True
80673,ES41,3591.8,1251,False
480182,ES51,29091.88,709,True
80898,ES64,84866.67,801,True
490013,ES23,73945.71,97,False
480316,ES13,8321.74,585,False
280014,ES11,8286.66,883,False
270095,ES41,48804.46,142,False
140230,ES62,94000.62,609,False
430234,ES63,5356.83,1235,False
350252,ES52,7849.0,669,True
460095,ES53,89536.2,1179,False
81706,ES51,81173.68,310,False
81483,ES63,88282.28,1256,True
500093,ES61,77249.97,1423,False
80370,ES12,15777.49,1015,False
30190,ES22,36423.64,327,False
60037,ES63,72792.97,82,False
220089,ES62,30409.32,250,False
480097,ES42,39079.84,1264,True
82112,ES12,83328.8,282,False
82213,ES53,9918.95,1341,True
81885,ES13,80170.37,591,False
100054,ES13,43634.85,549,True
81075,ES51,44814.54,900,False
82189,ES70,62281.81,606,False
230063,ES12,4908.58,1197,True
30250,ES51,54631.69,1351,True
170312,ES42,42687.95,1351,False
281304,ES61,27754.26,256,True
450020,ES64,95132.25,1475,False
140218,ES30,35717.1,479,True
210123,ES51,85663.52,93,True
430094,ES61,69547.82,318,True
460235,ES12,4007.59,107,False
250077,ES63,1012.34,939,False
280650,ES11,56777.93,490,True
100054,ES53,1947.74,1382,True
230151,ES13,7104.76,682,True
210148,ES61,79089.52,132,True
290228,ES63,55331.21,1116,False
81920,ES12,11578.57,467,False
380359,ES64,30836.74,899,True
440033,ES11,5086.29,364,False
190045,ES43,82246.12,209,False
180055,ES23,34397.1,240,False
290206,ES51,27495.81,326,False
81574,ES24,79462.51,127,False
470053,ES70,50304.7,834,True
220015,ES30,3392.24,876,False
82213,ES62,84887.18,928,False
120159,ES64,96012.12,926,False
450067,ES52,44314.13,560,True
180016,ES64,70134.1,896,False
81740,ES51,12089.14,1185,False
260110,ES11,59251.4,956,False
450067,ES43,26456.51,1205,False
300243,ES43,84508.5,321,True
281348,ES30,98892.96,347,True
450036,ES63,26285.93,481,False
300269,ES12,43132.84,579,False
280409,ES53,77066.43,640,True
30190,ES30,7579.7,1356,True
410080,ES52,54813.69,243,True
350390,ES53,53649.56,110,True
50034,ES21,86801.28,135,False
280468,ES13,58276.74,148,True
430173,ES61,88076.57,1225,False
350290,ES12,67002.92,363,False
410476,ES51,47571.64,859,False
81213,ES63,82975.73,1488,True
260121,ES70,86864.41,590,False
360274,ES51,90232.72,181,True
290094,ES41,37539.62,597,True
410251,ES30,14568.65,1440,False
410409,ES61,35186.62,659,False
90079,ES63,47115.59,576,False
60135,ES51,42554.13,477,False
430228,ES70,18970.23,1347,False
460370,ES13,13957.35,1434,True
80364,ES43,53797.37,68,False
281371,ES12,59692.64,1113,True
170160,ES53,75905.75,245,True
110282,ES12,35209.34,501,False
80312,ES24,11691.71,214,True
290115,ES53,75830.7,1414,False
70048,ES12,6108.61,173,False
330325,ES62,98086.41,963,True
250019,ES12,58234.67,838,False
280382,ES42,13256.69,1417,False
460044,ES41,7191.31,168,True
310150,ES21,4100.26,136,True
140241,ES64,11818.12,729,False
500074,ES42,52257.5,1266,False
30015,ES61,48006.91,204,True
30373,ES51,43310.12,392,True
81964,ES41,35666.9,1267,False
281326,ES13,93523.25,728,False
430081,ES52,77888.69,293,False
380103,ES42,18344.97,856,False
170123,ES43,85264.44,1342,False
80636,ES70,47644.35,1286,True
210031,ES42,67364.83,406,False
280783,ES53,63271.5,456,True
240055,ES30,69109.59,702,False
150200,ES43,5413.54,485,True
290287,ES41,3566.25,1310,False
81350,ES70,14581.83,86,False
480046,ES53,39066.23,263,False
290290,ES21,34561.66,1400,False
170334,ES61,93873.54,883,False
250077,ES24,78390.2,1431,True
170160,ES24,38150.63,456,True
310121,ES13,9193.64,730,True
80180,ES64,10095.25,1381,True
290094,ES70,44861.58,132,False
80771,ES30,12597.59,74,True
281326,ES63,77241.14,401,False
200185,ES30,64050.85,1264,True
81580,ES22,65247.5,308,True
280626,ES51,90711.36,1062,False
281034,ES51,38147.9,1051,False
260132,ES61,54991.28,1433,True
380244,ES62,4513.66,824,True
80713,ES22,68630.65,161,False
80333,ES30,40366.82,545,True
230011,ES12,19914.63,1088,True
450041,ES21,33889.63,806,True
170031,ES12,90360.67,790,False
30092,ES30,42555.3,572,False
81120,ES70,32484.57,293,False
190088,ES13,69361.69,958,True
430322,ES62,13483.51,636,True
290022,ES11,15478.1,1491,True
330045,ES30,92866.25,1081,False
80543,ES13,7977.84,233,False
130052,ES51,75857.89,927,True
340029,ES43,50775.38,549,True
380099,ES51,32156.5,922,False
90026,ES24,98586.23,423,False
410080,ES41,94722.24,672,True
410375,ES51,25522.17,758,True
360031,ES61,32352.15,1197,True
220105,ES52,90651.1,1021,False
81108,ES41,99777.38,886,False
280724,ES70,36216.66,1286,True
70051,ES42,26913.16,555,True
350389,ES51,8075.72,295,False
450133,ES43,81615.37,885,True
60220,ES41,51004.4,1402,True
281304,ES42,95701.57,787,False
380359,ES30,82742.3,720,False
81402,ES41,22140.97,1105,False
81379,ES61,19154.69,638,False
240021,ES43,57071.63,885,True
100113,ES63,17552.8,191,False
250045,ES30,41678.21,857,False
250181,ES23,18149.63,634,True
430120,ES11,59288.42,133,True
460272,ES22,45073.22,1370,True
110213,ES43,29913.26,725,False
240016,ES51,14635.33,391,False
170139,ES62,68867.46,618,True
140218,ES62,88584.61,1165,False
180093,ES42,83554.36,1480,False
30384,ES70,27200.78,1326,False
240205,ES52,69975.5,597,True
80556,ES53,10569.46,507,False
80497,ES24,51839.84,194,False
330208,ES43,52101.49,243,False
10088,ES12,29518.24,1202,False
220041,ES51,47018.32,974,False
82167,ES30,21557.17,1439,True
410080,ES70,76336.17,536,False
280745,ES62,57043.32,124,True
350304,ES52,71552.58,1346,False
460207,ES41,35793.55,949,False
260121,ES12,32497.5,1497,True
380295,ES13,51361.1,76,False
410386,ES23,9147.4,964,False
60037,ES62,40319.92,1164,False
450133,ES21,79044.83,147,False
330138,ES41,7159.5,277,False
360182,ES12,12320.89,985,True
390149,ES11,2948.8,1409,False
210025,ES62,63446.91,1318,True
200270,ES51,33955.29,1230,False
30041,ES21,33539.23,869,False
390015,ES12,12731.89,1089,True
80370,ES43,81881.9,1230,True
250232,ES70,14547.96,544,True
80142,ES21,98903.96,147,True
281071,ES12,44648.74,1423,True
30339,ES42,4009.46,421,True
330045,ES41,39874.17,361,True
480031,ES64,61065.57,1057,True
81574,ES12,74645.12,256,True
460240,ES30,55669.56,665,False
30152,ES42,14509.61,1118,False
170288,ES11,21599.57,587,True
150354,ES23,96826.66,420,False
81885,ES42,91811.17,822,True
260027,ES53,45887.66,775,True
280112,ES21,73612.2,1382,True
460415,ES70,27048.88,1355,False
140218,ES64,65620.98,1456,False
170101,ES11,30968.78,1138,True
360160,ES62,3280.16,615,False
20061,ES61,45330.45,1025,True
330313,ES63,21302.0,1261,True
280416,ES13,30809.5,957,True
60231,ES41,19489.84,1124,True
80832,ES24,91130.97,818,True
140082,ES53,28107.96,323,True
60037,ES64,10620.39,944,False
230119,ES64,44336.94,1075,True
81672,ES41,83476.5,948,False
40031,ES30,47261.8,198,False
330194,ES62,33558.35,65,True
460082,ES70,89865.8,1009,True
430252,ES51,46831.49,1148,False
100089,ES41,17202.1,118,True
410409,ES23,4165.31,698,False
410303,ES11,32741.68,367,True
81740,ES30,4824.78,289,True
110162,ES41,19954.12,1318,False
90133,ES41,56038.99,396,True
220020,ES43,84520.59,676,False
410409,ES63,68480.91,909,True
150354,ES51,46504.74,1003,False
500153,ES21,43945.72,695,True
410055,ES53,52040.75,559,True
281371,ES12,6544.55,245,True
90098,ES70,39481.4,1092,False
100054,ES52,89899.78,1142,False
150177,ES21,96070.91,906,False
290108,ES51,94976.74,1262,False
