encoding,code,code_clean,description,p_type_cd,d_type_cd,observations
ICD-10,0QS704Z,0QS704Z,"Reposition of left proximal femur with internal fixation device, open approach",FFEM,,
ICD-10,0QS705Z,0QS705Z,"Reposition of left proximal femur with external fixation device, open approach",FFEM,,
ICD-10,0QS706Z,0QS706Z,"Reposition of left proximal femur with intramedullary internal fixation device, open approach",FFEM,,
ICD-10,0QS70BZ,0QS70BZ,"Reposition of left proximal femur with external fixation device, monoplane, open approach",FFEM,,
ICD-10,0QS70CZ,0QS70CZ,"Reposition of left proximal femur with external fixation device, ring, open approach",FFEM,,
ICD-10,0QS70DZ,0QS70DZ,"Reposition of left proximal femur with external fixation device, hybrid, open approach",FFEM,,
ICD-10,0QS70ZZ,0QS70ZZ,"Reposition of left proximal femur, open approach",FFEM,,
ICD-10,0QS734Z,0QS734Z,"Reposition of left proximal femur with internal fixation device, percutaneous approach",FFEM,,
ICD-10,0QS735Z,0QS735Z,"Reposition of left proximal femur with external fixation device, percutaneous approach",FFEM,,
ICD-10,0QS736Z,0QS736Z,"Reposition of left proximal femur with internal fixation device, intramedullary, percutaneous approach",FFEM,,
ICD-10,0QS73BZ,0QS73BZ,"Reposition of left proximal femur with external fixation device, monoplane, percutaneous approach",FFEM,,
ICD-10,0QS73CZ,0QS73CZ,"Reposition of left proximal femur with external fixation device, ring, percutaneous approach",FFEM,,
ICD-10,0QS73DZ,0QS73DZ,"Reposition of left proximal femur with external fixation device, hybrid, percutaneous approach",FFEM,,
ICD-10,0QS73ZZ,0QS73ZZ,"Reposition of left proximal femur, percutaneous approach",FFEM,,
ICD-10,0QS744Z,0QS744Z,"Reposition of left proximal femur with internal fixation device, endoscopic percutaneous approach",FFEM,,
ICD-10,0QS745Z,0QS745Z,"Reposition of left proximal femur with external fixation device, endoscopic percutaneous approach",FFEM,,
ICD-10,0QS746Z,0QS746Z,"Reposition of left proximal femur with internal fixation device, intramedullary, endoscopic percutaneous approach",FFEM,,
ICD-10,0QS74BZ,0QS74BZ,"Reposition of left proximal femur with external fixation device, monoplane, endoscopic percutaneous approach",FFEM,,
ICD-10,0QS74CZ,0QS74CZ,"Reposition of left proximal femur with external fixation device, ring, endoscopic percutaneous approach",FFEM,,
ICD-10,0QS74DZ,0QS74DZ,"Reposition of left proximal femur with external fixation device, hybrid, endoscopic percutaneous approach",FFEM,,
ICD-10,0QS74ZZ,0QS74ZZ,"Reposition of left proximal femur, endoscopic percutaneous approach",FFEM,,
ICD-10,0QS7XZZ,0QS7XZZ,"Reposition of left proximal femur, external approach",FFEM,,
ICD-10,0QH604Z,0QH604Z,"Insertion of internal fixation device into right proximal femur, open approach",FFEM,,
ICD-10,0QH605Z,0QH605Z,"Insertion of external fixation device into right proximal femur, open approach",FFEM,,
ICD-10,0QH606Z,0QH606Z,"Insertion of internal fixation device into right proximal femur, intramedullary, open approach",FFEM,,
ICD-10,0QH608Z,0QH608Z,"Insertion of external fixation device into right proximal femur, limb lengthening, open approach",FFEM,,
ICD-10,0QH60BZ,0QH60BZ,"Insertion of external fixation device into right proximal femur, monoplane, open approach",FFEM,,
ICD-10,0QH60CZ,0QH60CZ,"Insertion of external fixation device into right proximal femur, ring, open approach",FFEM,,
ICD-10,0QH60DZ,0QH60DZ,"Insertion of external fixation device into right proximal femur, hybrid, open approach",FFEM,,
ICD-10,0QH634Z,0QH634Z,"Insertion of internal fixation device into right proximal femur, percutaneous approach",FFEM,,
ICD-10,0QH635Z,0QH635Z,"Insertion of external fixation device into right proximal femur, percutaneous approach",FFEM,,
ICD-10,0QH636Z,0QH636Z,"Insertion of internal fixation device into right proximal femur, intramedullary, percutaneous approach",FFEM,,
ICD-10,0QH638Z,0QH638Z,"Insertion of external fixation device into right proximal femur, limb lengthening, percutaneous approach",FFEM,,
ICD-10,0QH63BZ,0QH63BZ,"Insertion of external fixation device into right proximal femur, monoplane, percutaneous approach",FFEM,,
ICD-10,0QH63CZ,0QH63CZ,"Insertion of external fixation device into right proximal femur, ring, percutaneous approach",FFEM,,
ICD-10,0QH63DZ,0QH63DZ,"Insertion of external fixation device into right proximal femur, hybrid, percutaneous approach",FFEM,,
ICD-10,0QH644Z,0QH644Z,"Insertion of internal fixation device into right proximal femur, endoscopic percutaneous approach",FFEM,,
ICD-10,0QH645Z,0QH645Z,"Insertion of external fixation device into right proximal femur, endoscopic percutaneous approach",FFEM,,
ICD-10,0QH646Z,0QH646Z,"Insertion of internal fixation device into right proximal femur, intramedullary, endoscopic percutaneous approach",FFEM,,
ICD-10,0QH648Z,0QH648Z,"Insertion of external fixation device into right proximal femur, limb lengthening, endoscopic percutaneous approach",FFEM,,
ICD-10,0QH64BZ,0QH64BZ,"Insertion of external fixation device into right proximal femur, monoplane, endoscopic percutaneous approach",FFEM,,
ICD-10,0QH64CZ,0QH64CZ,"Insertion of external fixation device into right proximal femur, ring, endoscopic percutaneous approach",FFEM,,
ICD-10,0QH64DZ,0QH64DZ,"Insertion of external fixation device into right proximal femur, hybrid, endoscopic percutaneous approach",FFEM,,
ICD-10,0QH704Z,0QH704Z,"Insertion of internal fixation device into left proximal femur, open approach",FFEM,,
ICD-10,0QH705Z,0QH705Z,"Insertion of external fixation device into left proximal femur, open approach",FFEM,,
ICD-10,0QH706Z,0QH706Z,"Insertion of internal fixation device into left proximal femur, intramedullary, open approach",FFEM,,
ICD-10,0QH708Z,0QH708Z,"Insertion of external fixation device into left proximal femur, limb lengthening, open approach",FFEM,,
ICD-10,0QH70BZ,0QH70BZ,"Insertion of external fixation device into left proximal femur, monoplane, open approach",FFEM,,
ICD-10,0QH70CZ,0QH70CZ,"Insertion of external fixation device into left proximal femur, ring, open approach",FFEM,,
ICD-10,0QH70DZ,0QH70DZ,"Insertion of external fixation device into left proximal femur, hybrid, open approach",FFEM,,
ICD-10,0QH734Z,0QH734Z,"Insertion of internal fixation device into left proximal femur, percutaneous approach",FFEM,,
ICD-10,0QH735Z,0QH735Z,"Insertion of external fixation device into left proximal femur, percutaneous approach",FFEM,,
ICD-10,0QH736Z,0QH736Z,"Insertion of internal fixation device into left proximal femur, intramedullary, percutaneous approach",FFEM,,
ICD-10,0QH738Z,0QH738Z,"Insertion of external fixation device into left proximal femur, limb lengthening, percutaneous approach",FFEM,,
ICD-10,0QH73BZ,0QH73BZ,"Insertion of external fixation device into left proximal femur, monoplane, percutaneous approach",FFEM,,
ICD-10,0QH73CZ,0QH73CZ,"Insertion of external fixation device into left proximal femur, ring, percutaneous approach",FFEM,,
ICD-10,0QH73DZ,0QH73DZ,"Insertion of external fixation device into left proximal femur, hybrid, percutaneous approach",FFEM,,
ICD-10,0QH744Z,0QH744Z,"Insertion of internal fixation device into left proximal femur, endoscopic percutaneous approach",FFEM,,
ICD-10,0QH745Z,0QH745Z,"Insertion of external fixation device into left proximal femur, endoscopic percutaneous approach",FFEM,,
ICD-10,0QH746Z,0QH746Z,"Insertion of internal fixation device into left proximal femur, intramedullary, endoscopic percutaneous approach",FFEM,,
ICD-10,0QH748Z,0QH748Z,"Insertion of external fixation device into left proximal femur, limb lengthening, endoscopic percutaneous approach",FFEM,,
ICD-10,0QH74BZ,0QH74BZ,"Insertion of external fixation device into left proximal femur, monoplane, endoscopic percutaneous approach",FFEM,,
ICD-10,0QH74CZ,0QH74CZ,"Insertion of external fixation device into left proximal femur, ring, endoscopic percutaneous approach",FFEM,,
ICD-10,0QH74DZ,0QH74DZ,"Insertion of external fixation device into left proximal femur, hybrid, endoscopic percutaneous approach",FFEM,,
ICD-10,0SR9019,0SR9019,"Hip joint replacement, right, with synthetic substitute, metal, cemented, open approach",FFEM,,
ICD-10,0SR901A,0SR901A,"Right hip joint replacement with synthetic substitute, metal, uncemented, open approach",FFEM,,
ICD-10,0SR901Z,0SR901Z,"Right hip joint replacement with synthetic substitute, metal, open approach",FFEM,,
ICD-10,0SR9029,0SR9029,"Right hip joint replacement with synthetic substitute, metal on polyethylene, cemented, open approach",FFEM,,
ICD-10,0SR902A,0SR902A,"Right hip joint replacement with synthetic substitute, metal on polyethylene, uncemented, open approach",FFEM,,
ICD-10,0SR902Z,0SR902Z,"Right hip joint replacement with synthetic substitute, metal on polyethylene, open approach",FFEM,,
ICD-10,0SR9039,0SR9039,"Right hip joint replacement with synthetic substitute, ceramic, cemented, open approach",FFEM,,
ICD-10,0SR903A,0SR903A,"Right hip joint replacement with synthetic substitute, ceramic, uncemented, open approach",FFEM,,
ICD-10,0SR903Z,0SR903Z,"Right hip joint replacement with synthetic substitute, ceramic, open approach",FFEM,,
ICD-10,0SR9049,0SR9049,"Right hip joint replacement with synthetic substitute, ceramic on polyethylene, cemented, open approach",FFEM,,
ICD-10,0SR904A,0SR904A,"Right hip joint replacement with synthetic substitute, ceramic on polyethylene, uncemented, open approach",FFEM,,
ICD-10,0SR904Z,0SR904Z,"Right hip joint replacement with synthetic substitute, ceramic on polyethylene, open approach",FFEM,,
ICD-10,0SR9069,0SR9069,"Right hip joint replacement with synthetic substitute, zirconium oxide on polyethylene, cemented, open approach",FFEM,,
ICD-10,0SR906A,0SR906A,"Right hip joint replacement with synthetic substitute, zirconium oxide on polyethylene, uncemented, open approach",FFEM,,
ICD-10,0SR906Z,0SR906Z,"Right hip joint replacement with synthetic substitute, zirconium oxide on polyethylene, open approach",FFEM,,
ICD-10,0SR90J9,0SR90J9,"Right hip joint replacement with synthetic substitute, cemented, open approach",FFEM,,
ICD-10,0SR90JA,0SR90JA,"Right hip joint replacement with synthetic substitute, uncemented, open approach",FFEM,,
ICD-10,0SR90JZ,0SR90JZ,"Right hip joint replacement with synthetic substitute, open approach",FFEM,,
ICD-10,0SRB019,0SRB019,"Left hip joint replacement with synthetic substitute, metal, cemented, open approach",FFEM,,
ICD-10,0SRB01A,0SRB01A,"Left hip joint replacement with synthetic substitute, metal, uncemented, open approach",FFEM,,
ICD-10,0SRB01Z,0SRB01Z,"Left hip joint replacement with synthetic substitute, metal, open approach",FFEM,,
ICD-10,0SRB029,0SRB029,"Left hip joint replacement with synthetic substitute, metal on polyethylene, cemented, open approach",FFEM,,
ICD-10,0SRB02A,0SRB02A,"Left hip joint replacement with synthetic substitute, metal on polyethylene, uncemented, open approach",FFEM,,
ICD-10,0SRB02Z,0SRB02Z,"Left hip joint replacement with synthetic substitute, metal on polyethylene, open approach",FFEM,,
ICD-10,0SRB039,0SRB039,"Left hip joint replacement with synthetic substitute, ceramic, cemented, open approach",FFEM,,
ICD-10,0SRB03A,0SRB03A,"Left hip joint replacement with synthetic substitute, ceramic, uncemented, open approach",FFEM,,
ICD-10,0SRB03Z,0SRB03Z,"Left hip joint replacement with synthetic substitute, ceramic, open approach",FFEM,,
ICD-10,0SRB049,0SRB049,"Left hip joint replacement with synthetic substitute, ceramic on polyethylene, cemented, open approach",FFEM,,
ICD-10,0SRB04A,0SRB04A,"Left hip joint replacement with synthetic substitute, ceramic on polyethylene, uncemented, open approach",FFEM,,
ICD-10,0SRB04Z,0SRB04Z,"Left hip joint replacement with synthetic substitute, ceramic on polyethylene, open approach",FFEM,,
ICD-10,0SRB069,0SRB069,"Left hip joint replacement with synthetic substitute, zirconium oxide on polyethylene, cemented, open approach",FFEM,,
ICD-10,0SRB06A,0SRB06A,"Left hip joint replacement with synthetic substitute, zirconium oxide on polyethylene, uncemented, open approach",FFEM,,
ICD-10,0SRB06Z,0SRB06Z,"Left hip joint replacement with synthetic substitute, zirconium oxide on polyethylene, open approach",FFEM,,
ICD-10,0SRB0J9,0SRB0J9,"Left hip joint replacement with synthetic substitute, cemented, open approach",FFEM,,
ICD-10,0SRB0JA,0SRB0JA,"Left hip joint replacement with synthetic substitute, uncemented, open approach",FFEM,,
ICD-10,0SRB0JZ,0SRB0JZ,"Left hip joint replacement with synthetic substitute, open approach",FFEM,,
ICD-10,0SRR019,0SRR019,"Right femoral surface hip joint replacement with synthetic substitute, metal, cemented, open approach",FFEM,,
ICD-10,0SRR01A,0SRR01A,"Right femoral surface hip joint replacement with synthetic substitute, metal, uncemented, open approach",FFEM,,
ICD-10,0SRR01Z,0SRR01Z,"Right femoral surface hip joint replacement with synthetic substitute, metal, open approach",FFEM,,
ICD-10,0SRR039,0SRR039,"Right femoral surface hip joint replacement with synthetic substitute, ceramic, cemented, open approach",FFEM,,
ICD-10,0SRR03A,0SRR03A,"Right femoral surface hip joint replacement with synthetic substitute, ceramic, uncemented, open approach",FFEM,,
ICD-10,0SRR03Z,0SRR03Z,"Right femoral surface hip joint replacement with synthetic substitute, ceramic, open approach",FFEM,,
ICD-10,0SRR0J9,0SRR0J9,"Right femoral surface hip joint replacement with synthetic substitute, cemented, open approach",FFEM,,
ICD-10,0SRR0JA,0SRR0JA,"Right femoral surface hip joint replacement with synthetic substitute, uncemented, open approach",FFEM,,
ICD-10,0SRR0JZ,0SRR0JZ,"Right femoral surface hip joint replacement with synthetic substitute, open approach",FFEM,,
ICD-10,0SRS019,0SRS019,"Left femoral surface hip joint replacement with synthetic substitute, metal, cemented, open approach",FFEM,,
ICD-10,0SRS01A,0SRS01A,"Left femoral surface hip joint replacement with synthetic substitute, metal, uncemented, open approach",FFEM,,
ICD-10,0SRS01Z,0SRS01Z,"Left femoral surface hip joint replacement with synthetic substitute, metal, open approach",FFEM,,
ICD-10,0SRS039,0SRS039,"Left femoral surface hip joint replacement with synthetic substitute, ceramic, cemented, open approach",FFEM,,
ICD-10,0SRS03A,0SRS03A,"Left femoral surface hip joint replacement with synthetic substitute, ceramic, uncemented, open approach",FFEM,,
ICD-10,0SRS03Z,0SRS03Z,"Left femoral surface hip joint replacement with synthetic substitute, ceramic, open approach",FFEM,,
ICD-10,0SRS0J9,0SRS0J9,"Left femoral surface hip joint replacement with synthetic substitute, cemented, open approach",FFEM,,
ICD-10,0SRS0JA,0SRS0JA,"Left femoral surface hip joint replacement with synthetic substitute, uncemented, open approach",FFEM,,
ICD-10,0SRS0JZ,0SRS0JZ,"Left femoral surface hip joint replacement with synthetic substitute, open approach",FFEM,,
ICD-10,02QF0ZJ,02QF0ZJ,"Aortic valve repair created from truncal valve, open approach",ICV,,
ICD-10,02QF0ZZ,02QF0ZZ,"Aortic valve repair, open approach",ICV,,
ICD-10,02QG0ZE,02QG0ZE,"Mitral valve repair created from left atrioventricular valve, open approach",ICV,,
ICD-10,02QG0ZZ,02QG0ZZ,"Mitral valve repair, open approach",ICV,,
ICD-10,02QH0ZZ,02QH0ZZ,"Pulmonary valve repair, open approach",ICV,,
ICD-10,02QJ0ZG,02QJ0ZG,"Tricuspid valve repair created from right atrioventricular valve, open approach",ICV,,
ICD-10,02QJ0ZZ,02QJ0ZZ,"Tricuspid valve repair, open approach",ICV,,
ICD-10,02RF07Z,02RF07Z,"Aortic valve replacement with autologous tissue substitute, open approach",ICV,,
ICD-10,02RF08Z,02RF08Z,"Aortic valve replacement with zooplastic tissue, open approach",ICV,,
ICD-10,02RF0JZ,02RF0JZ,"Aortic valve replacement with synthetic substitute, open approach",ICV,,
ICD-10,02RF0KZ,02RF0KZ,"Aortic valve replacement with non-autologous tissue substitute, open approach",ICV,,
ICD-10,02RG07Z,02RG07Z,"Mitral valve replacement with autologous tissue substitute, open approach",ICV,,
ICD-10,02RG08Z,02RG08Z,"Mitral valve replacement with zooplastic tissue, open approach",ICV,,
ICD-10,02RG0JZ,02RG0JZ,"Mitral valve replacement with synthetic substitute, open approach",ICV,,
ICD-10,02RG0KZ,02RG0KZ,"Mitral valve replacement with non-autologous tissue substitute, open approach",ICV,,
ICD-10,02RH07Z,02RH07Z,"Pulmonary valve replacement with autologous tissue substitute, open approach",ICV,,
ICD-10,02RH08Z,02RH08Z,"Pulmonary valve replacement with zooplastic tissue, open approach",ICV,,
ICD-10,02RH0JZ,02RH0JZ,"Pulmonary valve replacement with synthetic substitute, open approach",ICV,,
ICD-10,02RH0KZ,02RH0KZ,"Pulmonary valve replacement with non-autologous tissue substitute, open approach",ICV,,
ICD-10,02RJ07Z,02RJ07Z,"Tricuspid valve replacement with autologous tissue substitute, open approach",ICV,,
ICD-10,02RJ08Z,02RJ08Z,"Tricuspid valve replacement with zooplastic tissue, open approach",ICV,,
ICD-10,02RJ0JZ,02RJ0JZ,"Tricuspid valve replacement with synthetic substitute, open approach",ICV,,
ICD-10,02RJ0KZ,02RJ0KZ,"Replacement of tricuspid valve with nonautologous tissue substitute, open approach",ICV,,
ICD-10,02VG0ZZ,02VG0ZZ,"Restriction of mitral valve, open approach",ICV,,
ICD-10,02WF07Z,02WF07Z,"Revision of aortic valve with autologous tissue substitute, open approach",ICV,,
ICD-10,02WF08Z,02WF08Z,"Revision of aortic valve with zooplastic tissue, open approach",ICV,,
ICD-10,02WF0JZ,02WF0JZ,"Revision of aortic valve with synthetic substitute, open approach",ICV,,
ICD-10,02WF0KZ,02WF0KZ,"Revision of aortic valve with nonautologous tissue substitute, open approach",ICV,,
ICD-10,02WG07Z,02WG07Z,"Revision of mitral valve with autologous tissue substitute, open approach",ICV,,
ICD-10,02WG08Z,02WG08Z,"Revision of mitral valve with zooplastic tissue, open approach",ICV,,
ICD-10,02WG0JZ,02WG0JZ,"Revision of mitral valve with synthetic substitute, open approach",ICV,,
ICD-10,02WG0KZ,02WG0KZ,"Revision of mitral valve with nonautologous tissue substitute, open approach",ICV,,
ICD-10,02WH07Z,02WH07Z,"Revision of pulmonary valve with autologous tissue substitute, open approach",ICV,,
ICD-10,02WH08Z,02WH08Z,"Revision of pulmonary valve with zooplastic tissue, open approach",ICV,,
ICD-10,02WH0JZ,02WH0JZ,"Revision of pulmonary valve with synthetic substitute, open approach",ICV,,
ICD-10,02WH0KZ,02WH0KZ,"Revision of pulmonary valve with nonautologous tissue substitute, open approach",ICV,,
ICD-10,02WJ07Z,02WJ07Z,"Revision of tricuspid valve with autologous tissue substitute, open approach",ICV,,
ICD-10,02WJ08Z,02WJ08Z,"Revision of tricuspid valve with zooplastic tissue, open approach",ICV,,
ICD-10,02WJ0JZ,02WJ0JZ,"Revision of tricuspid valve with synthetic substitute, open approach",ICV,,
ICD-10,02WJ0KZ,02WJ0KZ,"Revision of tricuspid valve with nonautologous tissue substitute, open approach",ICV,,
ICD-10,0UT90ZZ,0UT90ZZ,"Resection of uterus, open approach",HIS,,
ICD-10,0UT90ZL,0UT90ZL,"Supracervical resection of uterus, open approach",HIS,,
ICD-10,0UT94ZZ,0UT94ZZ,"Resection of uterus, percutaneous endoscopic approach",HIS,,
ICD-10,0UT94ZL,0UT94ZL,"Supracervical resection of uterus, percutaneous endoscopic approach",HIS,,
ICD-10,0UT9FZZ,0UT9FZZ,"Resection of uterus, natural or artificial opening with percutaneous endoscopic assistance",HIS,,
ICD-10,0UT9FZL,0UT9FZL,"Supracervical resection of uterus, natural or artificial opening with percutaneous endoscopic assistance",HIS,,
ICD-10,0DTE0ZZ,0DTE0ZZ,"Resection of large intestine, open approach",NCRA,,
ICD-10,0DTF0ZZ,0DTF0ZZ,"Resection of large intestine, right, open approach",NCRA,,
ICD-10,0DTG0ZZ,0DTG0ZZ,"Resection of large intestine, left, open approach",NCRA,,
ICD-10,0DTH0ZZ,0DTH0ZZ,"Resection of cecum, open approach",NCRA,,
ICD-10,0DTJ0ZZ,0DTJ0ZZ,"Resection of appendix, open approach",NCRA,,
ICD-10,0DTK0ZZ,0DTK0ZZ,"Resection of ascending colon, open approach",NCRA,,
ICD-10,0DTL0ZZ,0DTL0ZZ,"Resection of transverse colon, open approach",NCRA,,
ICD-10,0DTM0ZZ,0DTM0ZZ,"Resection of descending colon, open approach",NCRA,,
ICD-10,0DTN0ZZ,0DTN0ZZ,"Resection of sigmoid colon, open approach",NCRA,,
ICD-10,0DTP0ZZ,0DTP0ZZ,"Resection of rectum, open approach",NCRA,,
ICD-10,0DTQ0ZZ,0DTQ0ZZ,"Resection of anus, open approach",NCRA,,
ICD-10,0DBE0ZZ,0DBE0ZZ,"Excision in large intestine, open approach",NCRA,,
ICD-10,0DBF0ZZ,0DBF0ZZ,"Excision in large intestine, right, open approach",NCRA,,
ICD-10,0DBG0ZZ,0DBG0ZZ,"Excision in large intestine, left, open approach",NCRA,,
ICD-10,0DBH0ZZ,0DBH0ZZ,"Excision in cecum, open approach",NCRA,,
ICD-10,0DBJ0ZZ,0DBJ0ZZ,"Excision in appendix, open approach",NCRA,,
ICD-10,0DBK0ZZ,0DBK0ZZ,"Excision in ascending colon, open approach",NCRA,,
ICD-10,0DBL0ZZ,0DBL0ZZ,"Excision in transverse colon, open approach",NCRA,,
ICD-10,0DBM0ZZ,0DBM0ZZ,"Excision in descending colon, open approach",NCRA,,
ICD-10,0DBN0ZZ,0DBN0ZZ,"Excision in sigmoid colon, open approach",NCRA,,
ICD-10,0DBP0ZZ,0DBP0ZZ,"Excision in rectum, open approach",NCRA,,
ICD-10,0DBQ0ZZ,0DBQ0ZZ,"Excision in anus, open approach",NCRA,,
ICD-10,0DBE4ZZ,0DBE4ZZ,"Excision in large intestine, endoscopic percutaneous approach",NCRL,,
ICD-10,0DBF4ZZ,0DBF4ZZ,"Excision in large intestine, right, endoscopic percutaneous approach",NCRL,,
ICD-10,0DBG4ZZ,0DBG4ZZ,"Excision in large intestine, left, endoscopic percutaneous approach",NCRL,,
ICD-10,0DBH4ZZ,0DBH4ZZ,"Excision in cecum, endoscopic percutaneous approach",NCRL,,
ICD-10,0DBJ4ZZ,0DBJ4ZZ,"Excision in appendix, endoscopic percutaneous approach",NCRL,,
ICD-10,0DBK4ZZ,0DBK4ZZ,"Excision in ascending colon, endoscopic percutaneous approach",NCRL,,
ICD-10,0DBL4ZZ,0DBL4ZZ,"Excision in transverse colon, endoscopic percutaneous approach",NCRL,,
ICD-10,0DBM4ZZ,0DBM4ZZ,"Excision in descending colon, endoscopic percutaneous approach",NCRL,,
ICD-10,0DBN4ZZ,0DBN4ZZ,"Excision in sigmoid colon, endoscopic percutaneous approach",NCRL,,
ICD-10,0DBP4ZZ,0DBP4ZZ,"Excision in rectum, endoscopic percutaneous approach",NCRL,,
ICD-10,0DBQ4ZZ,0DBQ4ZZ,"Excision in anus, endoscopic percutaneous approach",NCRL,,
ICD-10,0DTE4ZZ,0DTE4ZZ,"Resection of large intestine, endoscopic percutaneous approach",NCRL,,
ICD-10,0DTF4ZZ,0DTF4ZZ,"Resection of large intestine, right, endoscopic percutaneous approach",NCRL,,
ICD-10,0DTG4ZZ,0DTG4ZZ,"Resection of large intestine, left, endoscopic percutaneous approach",NCRL,,
ICD-10,0DTH4ZZ,0DTH4ZZ,"Resection of cecum, endoscopic percutaneous approach",NCRL,,
ICD-10,0DTJ4ZZ,0DTJ4ZZ,"Resection of appendix, endoscopic percutaneous approach",NCRL,,
ICD-10,0DTK4ZZ,0DTK4ZZ,"Resection of ascending colon, endoscopic percutaneous approach",NCRL,,
ICD-10,0DTL4ZZ,0DTL4ZZ,"Resection of transverse colon, endoscopic percutaneous approach",NCRL,,
ICD-10,0DTM4ZZ,0DTM4ZZ,"Resection of descending colon, endoscopic percutaneous approach",NCRL,,
ICD-10,0DTN4ZZ,0DTN4ZZ,"Resection of sigmoid colon, endoscopic percutaneous approach",NCRL,,
ICD-10,0DTP4ZZ,0DTP4ZZ,"Resection of rectum, endoscopic percutaneous approach",NCRL,,
ICD-10,0DTQ4ZZ,0DTQ4ZZ,"Resection of anus, endoscopic percutaneous approach",NCRL,,
ICD-10,0SRC069,0SRC069,"Replacement of right knee joint with oxidized zirconium on polyethylene synthetic substitute, cemented, open approach.",PROD,,
ICD-10,0SRC06A,0SRC06A,"Replacement of right knee joint with oxidized zirconium on polyethylene synthetic substitute, uncemented, open approach.",PROD,,
ICD-10,0SRC06Z,0SRC06Z,"Replacement of right knee joint with oxidized zirconium on polyethylene synthetic substitute, open approach, no qualifier.",PROD,,
ICD-10,0SRC0J9,0SRC0J9,"Replacement of right knee joint with synthetic substitute, cemented, open approach.",PROD,,
ICD-10,0SRC0JA,0SRC0JA,"Replacement of right knee joint with synthetic substitute, uncemented, open approach.",PROD,,
ICD-10,0SRC0JZ,0SRC0JZ,"Replacement of right knee joint with synthetic substitute, open approach, no qualifier.",PROD,,
ICD-10,0SRC0L9,0SRC0L9,"Replacement of medial unicondylar right knee joint with synthetic substitute, cemented, open approach.",PROD,,
ICD-10,0SRC0LA,0SRC0LA,"Replacement of medial unicondylar right knee joint with synthetic substitute, uncemented, open approach.",PROD,,
ICD-10,0SRC0LZ,0SRC0LZ,"Replacement of medial unicondylar right knee joint with synthetic substitute, open approach, no qualifier.",PROD,,
ICD-10,0SRC0M9,0SRC0M9,"Replacement of lateral unicondylar right knee joint with synthetic substitute, cemented, open approach.",PROD,,
ICD-10,0SRC0MA,0SRC0MA,"Replacement of lateral unicondylar right knee joint with synthetic substitute, uncemented, open approach.",PROD,,
ICD-10,0SRC0MZ,0SRC0MZ,"Replacement of lateral unicondylar right knee joint with synthetic substitute, open approach, no qualifier.",PROD,,
ICD-10,0SRC0N9,0SRC0N9,"Replacement of patellofemoral right knee joint with synthetic substitute, cemented, open approach.",PROD,,
ICD-10,0SRC0NA,0SRC0NA,"Replacement of patellofemoral right knee joint with synthetic substitute, uncemented, open approach.",PROD,,
