encoding,code,code_clean,description,orgdiab_bl,observations
ICD-10,E08.3529,E083529,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",1,
ICD-10,E08.3531,E083531,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",1,
ICD-10,E08.3532,E083532,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",1,
ICD-10,E08.3533,E083533,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",1,
ICD-10,E08.3539,E083539,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",1,
ICD-10,E08.3541,E083541,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",1,
ICD-10,E08.3542,E083542,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",1,
ICD-10,E08.3543,E083543,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",1,
ICD-10,E08.3549,E083549,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",1,
ICD-10,E08.3551,E083551,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye",1,
ICD-10,E08.3552,E083552,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye",1,
ICD-10,E08.3553,E083553,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral",1,
ICD-10,E08.3559,E083559,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, unspecified eye",1,
ICD-10,E08.3591,E083591,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye",1,
ICD-10,E08.3592,E083592,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye",1,
ICD-10,E08.3593,E083593,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral",1,
ICD-10,E08.3599,E083599,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, unspecified eye",1,
ICD-10,E08.36,E0836,Diabetes mellitus due to underlying condition with diabetic cataract,1,
ICD-10,E08.37X1,E0837X1,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye",1,
ICD-10,E08.37X2,E0837X2,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye",1,
ICD-10,E08.37X3,E0837X3,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",1,
ICD-10,E08.37X9,E0837X9,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye",1,
ICD-10,E08.39,E0839,Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication,1,
ICD-10,E08.40,E0840,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified",1,
ICD-10,E08.41,E0841,Diabetes mellitus due to underlying condition with diabetic mononeuropathy,1,
ICD-10,E08.42,E0842,Diabetes mellitus due to underlying condition with diabetic polyneuropathy,1,
ICD-10,E08.43,E0843,Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy,1,
ICD-10,E08.44,E0844,Diabetes mellitus due to underlying condition with diabetic amyotrophy,1,
ICD-10,E08.49,E0849,Diabetes mellitus due to underlying condition with other diabetic neurological complication,1,
ICD-10,E08.51,E0851,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene,1,
ICD-10,E08.52,E0852,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene,1,
ICD-10,E08.59,E0859,Diabetes mellitus due to underlying condition with other circulatory complications,1,
ICD-10,E08.610,E08610,Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy,1,
ICD-10,E08.618,E08618,Diabetes mellitus due to underlying condition with other diabetic arthropathy,1,
ICD-10,E08.620,E08620,Diabetes mellitus due to underlying condition with diabetic dermatitis,1,
ICD-10,E08.621,E08621,Diabetes mellitus due to underlying condition with foot ulcer,1,
ICD-10,E08.622,E08622,Diabetes mellitus due to underlying condition with other skin ulcer,1,
ICD-10,E08.628,E08628,Diabetes mellitus due to underlying condition with other skin complications,1,
ICD-10,E08.630,E08630,Diabetes mellitus due to underlying condition with periodontal disease,1,
ICD-10,E08.638,E08638,Diabetes mellitus due to underlying condition with other oral complications,1,
ICD-10,E08.69,E0869,Diabetes mellitus due to underlying condition with other specified complication,1,
ICD-10,E08.8,E088,Diabetes mellitus due to underlying condition with unspecified complications,1,
ICD-10,E09.21,E0921,Drug or chemical induced diabetes mellitus with diabetic nephropathy,1,
ICD-10,E09.22,E0922,Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease,1,
ICD-10,E09.29,E0929,Drug or chemical induced diabetes mellitus with other diabetic kidney complication,1,
ICD-10,E09.311,E09311,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,
ICD-10,E09.319,E09319,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular edema,1,
ICD-10,E09.3211,E093211,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",1,
ICD-10,E09.3212,E093212,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",1,
ICD-10,E09.3213,E093213,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",1,
ICD-10,E09.3219,E093219,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,
ICD-10,E09.3291,E093291,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",1,
ICD-10,E09.3292,E093292,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",1,
ICD-10,E09.3293,E093293,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",1,
ICD-10,E09.3299,E093299,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,
ICD-10,E09.3311,E093311,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",1,
ICD-10,E09.3312,E093312,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",1,
ICD-10,E09.3313,E093313,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",1,
ICD-10,E09.3319,E093319,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,
ICD-10,E09.3391,E093391,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",1,
ICD-10,E09.3392,E093392,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",1,
ICD-10,E09.3393,E093393,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",1,
ICD-10,E09.3399,E093399,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,
ICD-10,E09.3411,E093411,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",1,
ICD-10,E09.3412,E093412,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",1,
ICD-10,E09.3413,E093413,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",1,
ICD-10,E09.3419,E093419,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,
ICD-10,E09.3491,E093491,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",1,
ICD-10,E09.3492,E093492,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",1,
ICD-10,E09.3493,E093493,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",1,
ICD-10,E09.3499,E093499,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,
ICD-10,E09.3511,E093511,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",1,
ICD-10,E09.3512,E093512,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",1,
ICD-10,E09.3513,E093513,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",1,
ICD-10,E09.3519,E093519,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",1,
ICD-10,E09.3521,E093521,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",1,
ICD-10,E09.3522,E093522,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",1,
ICD-10,E09.3523,E093523,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",1,
ICD-10,E09.3529,E093529,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",1,
ICD-10,E09.3531,E093531,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",1,
ICD-10,E09.3532,E093532,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",1,
ICD-10,E09.3533,E093533,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",1,
ICD-10,E09.3539,E093539,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",1,
ICD-10,E09.3541,E093541,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",1,
ICD-10,E09.3542,E093542,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",1,
ICD-10,E09.3543,E093543,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",1,
ICD-10,E09.3549,E093549,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",1,
ICD-10,E09.3551,E093551,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, right eye",1,
ICD-10,E09.3552,E093552,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, left eye",1,
ICD-10,E09.3553,E093553,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",1,
ICD-10,E09.3559,E093559,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",1,
ICD-10,E09.3591,E093591,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",1,
ICD-10,E09.3592,E093592,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",1,
ICD-10,E09.3593,E093593,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",1,
ICD-10,E09.3599,E093599,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",1,
ICD-10,E09.36,E0936,Drug or chemical induced diabetes mellitus with diabetic cataract,1,
ICD-10,E09.37X1,E0937X1,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",1,
ICD-10,E09.37X2,E0937X2,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",1,
ICD-10,E09.37X3,E0937X3,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",1,
ICD-10,E09.37X9,E0937X9,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",1,
ICD-10,E09.39,E0939,Drug or chemical induced diabetes mellitus with other diabetic ophthalmic complication,1,
ICD-10,E09.40,E0940,"Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified",1,
ICD-10,E09.41,E0941,Drug or chemical induced diabetes mellitus with neurological complications with diabetic mononeuropathy,1,
ICD-10,E09.42,E0942,Drug or chemical induced diabetes mellitus with neurological complications with diabetic polyneuropathy,1,
ICD-10,E09.43,E0943,Drug or chemical induced diabetes mellitus with neurological complications with diabetic autonomic (poly)neuropathy,1,
ICD-10,E09.44,E0944,Drug or chemical induced diabetes mellitus with neurological complications with diabetic amyotrophy,1,
ICD-10,E09.49,E0949,Drug or chemical induced diabetes mellitus with neurological complications with other diabetic neurological complication,1,
ICD-10,E09.51,E0951,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy without gangrene,1,
ICD-10,E09.52,E0952,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene,1,
ICD-10,E09.59,E0959,Drug or chemical induced diabetes mellitus with other circulatory complications,1,
ICD-10,E09.610,E09610,Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy,1,
ICD-10,E09.618,E09618,Drug or chemical induced diabetes mellitus with other diabetic arthropathy,1,
ICD-10,E09.620,E09620,Drug or chemical induced diabetes mellitus with diabetic dermatitis,1,
ICD-10,E09.621,E09621,Drug or chemical induced diabetes mellitus with foot ulcer,1,
ICD-10,E09.622,E09622,Drug or chemical induced diabetes mellitus with other skin ulcer,1,
ICD-10,E09.628,E09628,Drug or chemical induced diabetes mellitus with other skin complications,1,
ICD-10,E09.630,E09630,Drug or chemical induced diabetes mellitus with periodontal disease,1,
ICD-10,E09.638,E09638,Drug or chemical induced diabetes mellitus with other oral complications,1,
ICD-10,E09.69,E0969,Drug or chemical induced diabetes mellitus with other specified complication,1,
ICD-10,E09.8,E098,Drug or chemical induced diabetes mellitus with unspecified complications,1,
ICD-10,E10.21,E1021,Type 1 diabetes mellitus with diabetic nephropathy,1,
ICD-10,E10.22,E1022,Type 1 diabetes mellitus with diabetic chronic kidney disease,1,
ICD-10,E10.29,E1029,Type 1 diabetes mellitus with other diabetic kidney complication,1,
ICD-10,E10.311,E10311,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,1,
ICD-10,E10.319,E10319,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,1,
ICD-10,E10.3211,E103211,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",1,
ICD-10,E10.3212,E103212,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",1,
ICD-10,E10.3213,E103213,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",1,
ICD-10,E10.3219,E103219,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,
ICD-10,E10.3291,E103291,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",1,
ICD-10,E10.3292,E103292,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",1,
ICD-10,E10.3293,E103293,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",1,
ICD-10,E10.3299,E103299,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,
ICD-10,E10.3311,E103311,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",1,
ICD-10,E10.3312,E103312,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",1,
ICD-10,E10.3313,E103313,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",1,
ICD-10,E10.3319,E103319,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,
ICD-10,E10.3391,E103391,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",1,
ICD-10,E10.3392,E103392,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",1,
ICD-10,E10.3393,E103393,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",1,
ICD-10,E10.3399,E103399,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,
ICD-10,E10.3411,E103411,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",1,
ICD-10,E10.3412,E103412,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",1,
ICD-10,E10.3413,E103413,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",1,
ICD-10,E10.3419,E103419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,
ICD-10,E10.3491,E103491,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",1,
ICD-10,E10.3492,E103492,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",1,
ICD-10,E10.3493,E103493,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",1,
ICD-10,E10.3499,E103499,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",1,
ICD-10,E10.3511,E103511,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",1,
ICD-10,E10.3512,E103512,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",1,
ICD-10,E10.3513,E103513,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",1,
ICD-10,E10.3519,E103519,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",1,
ICD-10,E10.3521,E103521,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",1,
ICD-10,E10.3522,E103522,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",1,
ICD-10,E10.3523,E103523,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",1,
ICD-10,E10.3529,E103529,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",1,
ICD-10,E10.3531,E103531,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",1,
ICD-10,E10.3532,E103532,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",1,
ICD-10,E10.3533,E103533,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",1,
ICD-10,E10.3539,E103539,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",1,
ICD-10,E10.3541,E103541,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",1,
ICD-10,E10.3542,E103542,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",1,
ICD-10,E10.3543,E103543,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",1,
ICD-10,E10.3549,E103549,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",1,
ICD-10,E10.3551,E103551,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",1,
ICD-10,E10.3552,E103552,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",1,
ICD-10,E10.3553,E103553,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",1,
ICD-10,E10.3559,E103559,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",1,
ICD-10,E10.3591,E103591,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",1,
ICD-10,E10.3592,E103592,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",1,
ICD-10,E10.3593,E103593,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",1,
ICD-10,E10.3599,E103599,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",1,
ICD-10,E10.36,E1036,Type 1 diabetes mellitus with diabetic cataract,1,
ICD-10,E10.37X1,E1037X1,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",1,
ICD-10,E10.37X2,E1037X2,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",1,
ICD-10,E10.37X3,E1037X3,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",1,
ICD-10,E10.37X9,E1037X9,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",1,
ICD-10,E10.39,E1039,Type 1 diabetes mellitus with other diabetic ophthalmic complication,1,
ICD-10,E10.40,E1040,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",1,
ICD-10,E10.41,E1041,Type 1 diabetes mellitus with diabetic mononeuropathy,1,
ICD-10,E10.42,E1042,Type 1 diabetes mellitus with diabetic polyneuropathy,1,
ICD-10,E10.43,E1043,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,1,
ICD-10,E10.44,E1044,Type 1 diabetes mellitus with diabetic amyotrophy,1,
ICD-10,E10.49,E1049,Type 1 diabetes mellitus with other diabetic neurological complication,1,
ICD-10,E10.51,E1051,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,1,
ICD-10,E10.52,E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,1,
ICD-10,E10.59,E1059,Type 1 diabetes mellitus with other circulatory complications,1,
ICD-10,E10.610,E10610,Type 1 diabetes mellitus with diabetic neuropathic arthropathy,1,
ICD-10,E10.618,E10618,Type 1 diabetes mellitus with other diabetic arthropathy,1,
ICD-10,E10.620,E10620,Type 1 diabetes mellitus with diabetic dermatitis,1,
ICD-10,E10.621,E10621,Type 1 diabetes mellitus with foot ulcer,1,
ICD-10,E10.622,E10622,Type 1 diabetes mellitus with other skin ulcer,1,
ICD-10,E10.628,E10628,Type 1 diabetes mellitus with other skin complications,1,
ICD-10,E10.630,E10630,Type 1 diabetes mellitus with periodontal disease,1,
ICD-10,E10.638,E10638,Type 1 diabetes mellitus with other oral complications,1,
ICD-10,E10.69,E1069,Type 1 diabetes mellitus with other specified complication,1,
ICD-10,E10.8,E108,Type 1 diabetes mellitus with unspecified complications,1,
ICD-10,E11.21,E1121,Type 2 diabetes mellitus with diabetic nephropathy,1,
ICD-10,E11.22,E1122,Type 2 diabetes mellitus with diabetic chronic kidney disease,1,
ICD-10,E11.29,E1129,Type 2 diabetes mellitus with other diabetic kidney complication,1,
