encoding,code,code_clean,description,dementia_bl,observations
ICD-10,F01.C18,F01C18,"Vascular dementia, severe, with other behavioral disturbance",1,
ICD-10,F01.C2,F01C2,"Vascular dementia, severe, with other behavioral disturbance with psychotic disturbance",1,
ICD-10,F01.C3,F01C3,"Vascular dementia, severe, with other behavioral disturbance with mood disturbance",1,
ICD-10,F01.C4,F01C4,"Vascular dementia, severe, with other behavioral disturbance with anxiety",1,
ICD-10,F02.80,F0280,,1,
ICD-10,F02.811,F02811,"Dementia in other diseases classified elsewhere, unspecified severity, with agitation",1,
ICD-10,F02.818,F02818,"Dementia in other diseases classified elsewhere, unspecified severity, with other behavioral disturbance",1,
ICD-10,F02.82,F0282,"Dementia in other diseases classified elsewhere, unspecified severity, with psychotic disturbance",1,
ICD-10,F02.83,F0283,"Dementia in other diseases classified elsewhere, unspecified severity, with mood disturbance",1,
ICD-10,F02.84,F0284,"Dementia in other diseases classified elsewhere, unspecified severity, with anxiety",1,
ICD-10,F02.A0,F02A0,"Dementia in other diseases classified elsewhere, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",1,
ICD-10,F02.A11,F02A11,"Dementia in other diseases classified elsewhere, mild, with agitation",1,
ICD-10,F02.A18,F02A18,"Dementia in other diseases classified elsewhere, mild, with other behavioral disturbance",1,
ICD-10,F02.A2,F02A2,"Dementia in other diseases classified elsewhere, mild, with psychotic disturbance",1,
ICD-10,F02.A3,F02A3,"Dementia in other diseases classified elsewhere, mild, with mood disturbance",1,
ICD-10,F02.A4,F02A4,"Dementia in other diseases classified elsewhere, mild, with anxiety",1,
ICD-10,F02.B0,F02B0,"Dementia in other diseases classified elsewhere, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",1,
ICD-10,F02.B11,F02B11,"Dementia in other diseases classified elsewhere, moderate, with agitation",1,
ICD-10,F02.B18,F02B18,"Dementia in other diseases classified elsewhere, moderate, with other behavioral distrubance",1,
ICD-10,F02.B2,F02B2,"Dementia in other diseases classified elsewhere, moderate, with psychotic disturbance",1,
ICD-10,F02.B3,F02B3,"Dementia in other diseases classified elsewhere, moderate, with mood disturbance",1,
ICD-10,F02.B4,F02B4,"Dementia in other diseases classified elsewhere, moderate, with anxiety",1,
ICD-10,F02.C0,F02C0,"Dementia in other diseases classified elsewhere, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",1,
ICD-10,F02.C11,F02C11,"Dementia in other diseases classified elsewhere, severe, with agitation",1,
ICD-10,F02.C18,F02C18,"Dementia in other diseases classified elsewhere, severe, with other behavioral disturbance",1,
ICD-10,F02.C2,F02C2,"Dementia in other diseases classified elsewhere, severe, with psychotic disturbance",1,
ICD-10,F02.C3,F02C3,"Dementia in other diseases classified elsewhere, severe, with mood disturbance",1,
ICD-10,F02.C4,F02C4,"Dementia in other diseases classified elsewhere, severe, with anxiety",1,
ICD-10,F03.90,F0390,"Unspecified dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",1,
ICD-10,F03.911,F03911,"Unspecified dementia, unspecified severity, with agitation",1,
ICD-10,F03.918,F03918,"Unspecified dementia, unspecified severity, with other behavioral disturbance",1,
ICD-10,F03.92,F0392,"Unspecified dementia, unspecified severity, with psychotic disturbance",1,
ICD-10,F03.93,F0393,"Unspecified dementia, unspecified severity, with mood disturbance",1,
ICD-10,F03.94,F0394,"Unspecified dementia, unspecified severity, with anxiety",1,
ICD-10,F03.A0,F03A0,"Unspecified dementia, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",1,
ICD-10,F03.A11,F03A11,"Unspecified dementia, mild, with agitation",1,
ICD-10,F03.A18,F03A18,"Unspecified dementia, mild, with other behavioral disturbance",1,
ICD-10,F03.A2,F03A2,"Unspecified dementia, mild, with psychotic disturbance",1,
ICD-10,F03.A3,F03A3,"Unspecified dementia, mild, with mood disturbance",1,
ICD-10,F03.A4,F03A4,"Unspecified dementia, mild, with anxiety",1,
ICD-10,F03.B0,F03B0,"Unspecified dementia, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",1,
ICD-10,F03.B11,F03B11,"Unspecified dementia, moderate, with agitation",1,
ICD-10,F03.B18,F03B18,"Unspecified dementia, moderate, with other behavioral disturbance",1,
ICD-10,F03.B2,F03B2,"Unspecified dementia, moderate, with psychotic disturbance",1,
ICD-10,F03.B3,F03B3,"Unspecified dementia, moderate, with mood disturbance",1,
ICD-10,F03.B4,F03B4,"Unspecified dementia, moderate, with anxiety",1,
ICD-10,F03.C0,F03C0,"Unspecified dementia, servere, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",1,
ICD-10,F03.C11,F03C11,"Unspecified dementia, servere, with agitation",1,
ICD-10,F03.C18,F03C18,"Unspecified dementia, servere, with other behavioral disturbance",1,
ICD-10,F03.C2,F03C2,"Unspecified dementia, servere, with psychotic disturbance",1,
ICD-10,F03.C3,F03C3,"Unspecified dementia, servere, with mood disturbance",1,
ICD-10,F03.C4,F03C4,"Unspecified dementia, servere, with anxiety",1,
ICD-10,F04,F04,Amnestic disorder due to known physiological condition,1,
ICD-10,F06.0,F060,Psychotic disorder with hallucinations due to known physiological condition,1,
ICD-10,F06.8,F068,Other specified mental disorders due to known physiological condition,1,
ICD-10,F84.2,F842,Rett's syndrome,1,
ICD-10,G30.0,G300,Alzheimer's disease with early onset,1,
ICD-10,G30.1,G301,Alzheimer's disease with late onset,1,
ICD-10,G30.8,G308,Other Alzheimer's disease,1,
ICD-10,G30.9,G309,"Alzheimer's disease, unspecified",1,
ICD-10,G31.01,G3101,Pick's disease,1,
ICD-10,G31.09,G3109,Other frontotemporal neurocognitive disorder,1,
ICD-10,G31.1,G311,"Senile degeneration of brain, not elsewhere classified",1,
ICD-10,G31.2,G312,Degeneration of nervous system due to alcohol,1,
ICD-10,G31.81,G3181,"Other specified degenerative diseases of nervous system, Alpers disease",1,
ICD-10,G31.82,G3182,"Other specified degenerative diseases of nervous system, Leigh's disease",1,
ICD-10,G31.83,G3183,"Other specified degenerative diseases of nervous system, Neurocognitive disorder with Lewy bodies",1,
ICD-10,G31.84,G3184,"Other specified degenerative diseases of nervous system, Mild cognitive impairment of uncertain or unknown etiology",1,
ICD-10,G31.85,G3185,"Other specified degenerative diseases of nervous system, Corticobasal degeneration",1,
ICD-10,G31.89,G3189,Other specified degenerative diseases of nervous system,1,
ICD-10,G31.9,G319,"Degenerative disease of nervous system, unspecified",1,
ICD-10,G91.0,G910,Communicating hydrocephalus,1,
ICD-10,G91.1,G911,Obstructive hydrocephalus,1,
ICD-10,G91.2,G912,(Idiopathic) normal pressure hydrocephalus,1,
ICD-10,G91.3,G913,"Post-traumatic hydrocephalus, unspecified",1,
ICD-10,G91.4,G914,Hydrocephalus in diseases classified elsewhere,1,
ICD-10,G91.8,G918,Other hydrocephalus,1,
ICD-10,G91.9,G919,"Hydrocephalus, unspecified",1,
ICD-10,G93.7,G937,Reye's syndrome,1,
ICD-10,G93.89,G9389,Other specified disorders of brain,1,
ICD-10,G93.9,G939,"Disorder of brain, unspecified",1,
ICD-10,G94,G94,Other disorders of brain in diseases classified elsewhere,1,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
