"encoding","code","code_clean","description","leuk_bl","observations"
"ICD-10","C92.62","C9262","Leucemia mieloide aguda con anomalía 11q23 en recidiva",1,
"ICD-10","C92.A0","C92A0","Leucemia mieloide aguda con displasia multilinaje sin haber alcanzado remisión",1,
"ICD-10","C92.A1","C92A1","Leucemia mieloide aguda con displasia multilineal en remisión",1,
"ICD-10","C92.A2","C92A2","Leucemia mieloide aguda con displasia multilineal en recidiva",1,
"ICD-10","C92.Z0","C92Z0","Otros tipos de leucemia mieloide sin haber alcanzado remisión",1,
"ICD-10","C92.Z1","C92Z1","Otros tipos de leucemia mieloide en remisión",1,
"ICD-10","C92.Z2","C92Z2","Otros tipos de leucemia mieloide en recidiva",1,
"ICD-10","C92.90","C9290","Leucemia mieloide no especificada sin haber alcanzado remisión",1,
"ICD-10","C92.91","C9291","Leucemia mieloide no especificada en remisión",1,
"ICD-10","C92.92","C9292","Leucemia mieloide no especificada en recidiva",1,
"ICD-10","C92.0","C920","Leucemia mieloblástica aguda",1,
"ICD-10","C92.1","C921","Leucemia mieloide crónica BCR/ABL positiva",1,
"ICD-10","C92.2","C922","Leucemia mieloide crónica atípica BCR/ABL negativa",1,
"ICD-10","C92.3","C923","Sarcoma mieloide",1,
"ICD-10","C92.4","C924","Leucemia promielocítica aguda",1,
"ICD-10","C92.5","C925","Leucemia mielomonocítica aguda",1,
"ICD-10","C92.6","C926","Leucemia mieloide aguda con anomalía 11q23-",1,
"ICD-10","C92.A","C92A","Leucemia mieloide aguda con displasia multilinaje",1,
"ICD-10","C92.Z","C92Z","Otros tipos de leucemia mieloide",1,
"ICD-10","C92.9","C929","Leucemia mieloide no especificada",1,
"ICD-10","C92","C92","Leucemia mieloide",1,
"ICD-10","C93.00","C9300","Leucemia monoblástica/monocítica aguda sin haber alcanzado remisión",1,
"ICD-10","C93.01","C9301","Leucemia monoblástica/monocítica aguda en remisión",1,
"ICD-10","C93.02","C9302","Leucemia monoblástica/monocítica aguda en recidiva",1,
"ICD-10","C93.10","C9310","Leucemia mielomonocítica crónica sin haber alcanzado remisión",1,
"ICD-10","C93.11","C9311","Leucemia mielomonocítica crónica en remisión",1,
"ICD-10","C93.12","C9312","Leucemia mielomonocítica crónica en recidiva",1,
"ICD-10","C93.30","C9330","Leucemia mielomonocítica juvenil sin haber alcanzado remisión",1,
"ICD-10","C93.31","C9331","Leucemia mielomonocítica juvenil en remisión",1,
"ICD-10","C93.32","C9332","Leucemia mielomonocítica juvenil en recidiva",1,
"ICD-10","C93.Z0","C93Z0","Otros tipos de leucemia monocítica sin haber alcanzado remisión",1,
"ICD-10","C93.Z1","C93Z1","Otros tipos de leucemia monocítica en remisión",1,
"ICD-10","C93.Z2","C93Z2","Otros tipos de leucemia monocítica en recidiva",1,
"ICD-10","C93.90","C9390","Leucemia monocítica no especificada sin haber alcanzado remisión",1,
"ICD-10","C93.91","C9391","Leucemia monocítica no especificada en remisión",1,
"ICD-10","C93.92","C9392","Leucemia monocítica no especificada en recidiva",1,
"ICD-10","C93.0","C930","Leucemia monocítica/monoblástica aguda",1,
"ICD-10","C93.1","C931","Leucemia mielomonocítica crónica",1,
"ICD-10","C93.3","C933","Leucemia mielomonocítica juvenil",1,
"ICD-10","C93.Z","C93Z","Otros tipos de leucemia monocítica",1,
"ICD-10","C93.9","C939","Leucemia monocítica no especificada",1,
"ICD-10","C93","C93","Leucemia monocítica",1,
"ICD-10","C94.00","C9400","Leucemia eritroide aguda sin haber alcanzado remisión",1,
"ICD-10","C94.01","C9401","Leucemia eritroide aguda en remisión",1,
"ICD-10","C94.02","C9402","Leucemia eritroide aguda en recidiva",1,
"ICD-10","C94.20","C9420","Leucemia aguda megacarioblástica sin haber alcanzado remisión",1,
"ICD-10","C94.21","C9421","Leucemia megacarioblástica aguda en remisión",1,
"ICD-10","C94.22","C9422","Leucemia megacarioblástica aguda en recidiva",1,
"ICD-10","C94.30","C9430","Leucemia de mastocitos sin haber alcanzado remisión",1,
"ICD-10","C94.31","C9431","Leucemia de mastocitos en remisión",1,
"ICD-10","C94.32","C9432","Leucemia de mastocitos en recidiva",1,
"ICD-10","C94.40","C9440","Panmielosis aguda con mielofibrosis sin haber alcanzado remisión",1,
"ICD-10","C94.41","C9441","Panmielosis aguda con mielofibrosis en remisión",1,
"ICD-10","C94.42","C9442","Panmielosis aguda con mielofibrosis en recidiva",1,
"ICD-10","C94.80","C9480","Otras leucemias especificadas sin haber alcanzado remisión",1,
"ICD-10","C94.81","C9481","Otras leucemias especificadas en remisión",1,
"ICD-10","C94.82","C9482","Otras leucemias especificadas en recidiva",1,
"ICD-10","C94.0","C940","Leucemia eritroide aguda",1,
"ICD-10","C94.2","C942","Leucemia megacarioblástica aguda",1,
"ICD-10","C94.3","C943","Leucemia de mastocitos",1,
"ICD-10","C94.4","C944","Panmielosis aguda con mielofibrosis",1,
"ICD-10","C94.6","C946","Enfermedad mielodisplásica no clasificada",1,
"ICD-10","C94.8","C948","Otras leucemias especificadas",1,
"ICD-10","C94","C94","Otras leucemias de tipo celular especificado",1,
"ICD-10","C95.00","C9500","Leucemia aguda no especificado tipo celular sin haber alcanzado remisión",1,
"ICD-10","C95.01","C9501","Leucemia aguda no especificado tipo celular en remisión",1,
"ICD-10","C95.02","C9502","Leucemia aguda no especificado tipo celular en recidiva",1,
"ICD-10","C95.10","C9510","Leucemia crónica de tipo celular no especificado sin haber alcanzado remisión",1,
"ICD-10","C95.11","C9511","Leucemia crónica de tipo celular no especificado en remisión",1,
"ICD-10","C95.12","C9512","Leucemia crónica de tipo celular no especificado en recidiva",1,
"ICD-10","C95.90","C9590","Leucemia no especificada sin haber alcanzado la remisión",1,
"ICD-10","C95.91","C9591","Leucemia no especificada en remisión",1,
"ICD-10","C95.92","C9592","Leucemia no especificada en recidiva",1,
"ICD-10","C95.0","C950","Leucemia aguda células de tipo no especificado",1,
"ICD-10","C95.1","C951","Leucemia crónica de tipo celular no especificado",1,
"ICD-10","C95.9","C959","Leucemia no especificada",1,
"ICD-10","C95","C95","Leucemia de células de tipo no especificado",1,
