"encoding","code","code_clean","description","tumor_bl","observations"
"ICD-10","C44.711","C44711","Carcinoma basocelular de piel de extremidad inferior no especificada incluyendo cadera",1,
"ICD-10","C44.712","C44712","Carcinoma basocelular de piel de extremidad inferior derecha incluyendo cadera",1,
"ICD-10","C44.719","C44719","Carcinoma basocelular de piel de extremidad inferior izquierda incluyendo cadera",1,
"ICD-10","C44.721","C44721","Carcinoma de células escamosas de piel de extremidad inferior no especificada incluyendo cadera",1,
"ICD-10","C44.722","C44722","Carcinoma de células escamosas de piel de extremidad inferior derecha incluyendo cadera",1,
"ICD-10","C44.729","C44729","Carcinoma de células escamosas de piel de extremidad inferior izquierda incluyendo cadera",1,
"ICD-10","C44.791","C44791","Otra neoplasia maligna especificada de piel de extremidad inferior no especificada incluyendo cadera",1,
"ICD-10","C44.792","C44792","Otra neoplasia maligna especificada de piel de extremidad inferior derecha incluyendo cadera",1,
"ICD-10","C44.799","C44799","Otra neoplasia maligna especificada de piel de extremidad inferior izquierda incluyendo cadera",1,
"ICD-10","C50.011","C50011","Neoplasia maligna de pezón y areola mama femenina derecha",1,
"ICD-10","C50.012","C50012","Neoplasia maligna de pezón y areola mama femenina izquierda",1,
"ICD-10","C50.019","C50019","Neoplasia maligna de pezón y areola de mama femenina lado no especificado",1,
"ICD-10","C50.021","C50021","Neoplasia maligna de pezón y areola mama masculina derecha",1,
"ICD-10","C50.022","C50022","Neoplasia maligna de pezón y areola mama masculina izquierda",1,
"ICD-10","C50.029","C50029","Neoplasia maligna de pezón y areola de mama masculina lado no especificado",1,
"ICD-10","C50.111","C50111","Neoplasia maligna de porción central de mama femenina derecha",1,
"ICD-10","C50.112","C50112","Neoplasia maligna de porción central de mama femenina izquierda",1,
"ICD-10","C50.119","C50119","Neoplasia maligna de porción central de mama femenina lado no especificado",1,
"ICD-10","C50.121","C50121","Neoplasia maligna de porción central de mama masculina derecha",1,
"ICD-10","C50.122","C50122","Neoplasia maligna de porción central de mama masculina izquierda",1,
"ICD-10","C50.129","C50129","Neoplasia maligna de porción central de mama masculina lado no especificado",1,
"ICD-10","C50.211","C50211","Neoplasia maligna de cuadrante superior interno de mama femenina derecha",1,
"ICD-10","C50.212","C50212","Neoplasia maligna de cuadrante superior interno de mama femenina izquierda",1,
"ICD-10","C50.219","C50219","Neoplasia maligna de cuadrante superior interno de mama femenina lado no especificado",1,
"ICD-10","C50.221","C50221","Neoplasia maligna de cuadrante superior interno de mama masculina derecha",1,
"ICD-10","C50.222","C50222","Neoplasia maligna de cuadrante superior interno de mama masculina izquierda",1,
"ICD-10","C50.229","C50229","Neoplasia maligna de cuadrante superior interno de mama masculina lado no especificado",1,
"ICD-10","C50.311","C50311","Neoplasia maligna de cuadrante inferior interno de mama femenina derecha",1,
"ICD-10","C50.312","C50312","Neoplasia maligna de cuadrante inferior interno de mama femenina izquierda",1,
"ICD-10","C50.319","C50319","Neoplasia maligna de cuadrante inferior interno de mama femenina lado no especificado",1,
"ICD-10","C50.321","C50321","Neoplasia maligna de cuadrante inferior interno de mama masculina derecha",1,
"ICD-10","C50.322","C50322","Neoplasia maligna de cuadrante inferior interno de mama masculina izquierda",1,
"ICD-10","C50.329","C50329","Neoplasia maligna de cuadrante inferior interno de mama masculina lado no especificado",1,
"ICD-10","C50.411","C50411","Neoplasia maligna de cuadrante superior externo de mama femenina derecha",1,
"ICD-10","C50.412","C50412","Neoplasia maligna de cuadrante superior externo de mama femenina izquierda",1,
"ICD-10","C50.419","C50419","Neoplasia maligna de cuadrante superior externo de mama femenina lado no especificado",1,
"ICD-10","C50.421","C50421","Neoplasia maligna de cuadrante superior externo de mama masculina derecha",1,
"ICD-10","C50.422","C50422","Neoplasia maligna de cuadrante superior externo de mama masculina izquierda",1,
"ICD-10","C50.429","C50429","Neoplasia maligna de cuadrante superior externo de mama masculina lado no especificado",1,
"ICD-10","C50.511","C50511","Neoplasia maligna de cuadrante inferior externo de mama femenina derecha",1,
"ICD-10","C50.512","C50512","Neoplasia maligna de cuadrante inferior externo de mama femenina izquierda",1,
"ICD-10","C50.519","C50519","Neoplasia maligna de cuadrante inferior externo de mama femenina lado no especificado",1,
"ICD-10","C50.521","C50521","Neoplasia maligna de cuadrante inferior externo de mama masculina derecha",1,
"ICD-10","C50.522","C50522","Neoplasia maligna de cuadrante inferior externo de mama masculina izquierda",1,
"ICD-10","C50.529","C50529","Neoplasia maligna de cuadrante inferior externo de mama masculina lado no especificado",1,
"ICD-10","C50.611","C50611","Neoplasia maligna de cola axilar de mama femenina derecha",1,
"ICD-10","C50.612","C50612","Neoplasia maligna de cola axilar de mama femenina izquierda",1,
"ICD-10","C50.619","C50619","Neoplasia maligna de cola axilar de mama femenina lado no especificado",1,
"ICD-10","C50.621","C50621","Neoplasia maligna de cola axilar de mama masculina derecha",1,
"ICD-10","C50.622","C50622","Neoplasia maligna de cola axilar de mama masculina izquierda",1,
"ICD-10","C50.629","C50629","Neoplasia maligna de cola axilar de mama masculina lado no especificado",1,
"ICD-10","C50.811","C50811","Neoplasia maligna de localizaciones contiguas de mama femenina derecha",1,
"ICD-10","C50.812","C50812","Neoplasia maligna de localizaciones contiguas de mama femenina izquierda",1,
"ICD-10","C50.819","C50819","Neoplasia maligna de localizaciones contiguas de mama femenina lado no especificado",1,
"ICD-10","C50.821","C50821","Neoplasia maligna de localizaciones contiguas de mama masculina derecha",1,
"ICD-10","C50.822","C50822","Neoplasia maligna de localizaciones contiguas de mama masculina izquierda",1,
"ICD-10","C50.829","C50829","Neoplasia maligna de localizaciones contiguas de mama masculina lado no especificado",1,
"ICD-10","C50.911","C50911","Neoplasia maligna de localización no especificada de mama femenina derecha",1,
"ICD-10","C50.912","C50912","Neoplasia maligna de localización no especificada de mama femenina izquierda",1,
"ICD-10","C50.919","C50919","Neoplasia maligna de localización no especificada de mama femenina lado no especificado",1,
"ICD-10","C50.921","C50921","Neoplasia maligna de localización no especificada de mama masculina derecha",1,
"ICD-10","C50.922","C50922","Neoplasia maligna de localización no especificada de mama masculina izquierda",1,
"ICD-10","C50.929","C50929","Neoplasia maligna de localización no especificada de mama masculina lado no especificado",1,
"ICD-10","C7A.010","C7A010","Tumor carcinoide maligno de duodeno",1,
"ICD-10","C7A.011","C7A011","Tumor carcinoide maligno de yeyuno",1,
"ICD-10","C7A.012","C7A012","Tumor carcinoide maligno de íleon",1,
"ICD-10","C7A.019","C7A019","Tumor carcinoide maligno de intestino delgado segmento no especificado",1,
"ICD-10","C7A.020","C7A020","Tumor carcinoide maligno de apéndice",1,
"ICD-10","C7A.021","C7A021","Tumor carcinoide maligno de ciego",1,
"ICD-10","C7A.022","C7A022","Tumor carcinoide maligno de colon ascendente",1,
"ICD-10","C7A.023","C7A023","Tumor carcinoide maligno de colon transverso",1,
"ICD-10","C7A.024","C7A024","Tumor carcinoide maligno de colon descendente",1,
"ICD-10","C7A.025","C7A025","Tumor carcinoide maligno de colon sigmoide",1,
"ICD-10","C7A.026","C7A026","Tumor carcinoide maligno de recto",1,
"ICD-10","C7A.029","C7A029","Tumor carcinoide maligno de intestino grueso segmento no especificado",1,
"ICD-10","C7A.090","C7A090","Tumor carcinoide maligno de bronquios y de pulmón",1,
"ICD-10","C7A.091","C7A091","Tumor carcinoide maligno de timo",1,
"ICD-10","C7A.092","C7A092","Tumor carcinoide maligno de estómago",1,
"ICD-10","C7A.093","C7A093","Tumor carcinoide maligno de riñón",1,
"ICD-10","C7A.094","C7A094","Tumor carcinoide maligno de intestino anterior no especificado",1,
"ICD-10","C7A.095","C7A095","Tumor carcinoide maligno de intestino medio no especificado",1,
"ICD-10","C7A.096","C7A096","Tumor carcinoide maligno de intestino posterior no especificado",1,
"ICD-10","C7A.098","C7A098","Tumores carcinoides malignos de otras localizaciones",1,
"ICD-10","C06.80","C0680","Neoplasia maligna de localizaciones contiguas de partes no especificadas de boca",1,
"ICD-10","C06.89","C0689","Neoplasia maligna de localizaciones contiguas de otras partes de la boca",1,
"ICD-10","C34.00","C3400","Neoplasia maligna de bronquio principal no especificado",1,
"ICD-10","C34.01","C3401","Neoplasia maligna de bronquio principal derecho",1,
"ICD-10","C34.02","C3402","Neoplasia maligna de bronquio principal izquierdo",1,
"ICD-10","C34.10","C3410","Neoplasia maligna de lóbulo superior bronquio y pulmón no especificados",1,
"ICD-10","C34.11","C3411","Neoplasia maligna de lóbulo superior bronquio o pulmón derecho",1,
"ICD-10","C34.12","C3412","Neoplasia maligna de lóbulo superior bronquio o pulmón izquierdo",1,
"ICD-10","C34.30","C3430","Neoplasia maligna de lóbulo inferior bronquio o pulmón no especificados",1,
"ICD-10","C34.31","C3431","Neoplasia maligna de lóbulo inferior bronquio o pulmón derecho",1,
"ICD-10","C34.32","C3432","Neoplasia maligna de lóbulo inferior bronquio o pulmón izquierdo",1,
"ICD-10","C34.80","C3480","Neoplasia maligna de localizaciones contiguas de bronquio y pulmón no especificados",1,
"ICD-10","C34.81","C3481","Neoplasia maligna de localizaciones contiguas de bronquio y pulmón derecho",1,
"ICD-10","C34.82","C3482","Neoplasia maligna de localizaciones contiguas de bronquio y pulmón izquierdo",1,
"ICD-10","C34.90","C3490","Neoplasia maligna de parte no especificada bronquio o pulmón no especificados",1,
"ICD-10","C44.01","C4401","Carcinoma basocelular de piel de labio",1,
"ICD-10","C34.91","C3491","Neoplasia maligna de parte no especificada de pulmón o bronquio derecho",1,
"ICD-10","C34.92","C3492","Neoplasia maligna de parte no especificada de pulmón o bronquio izquierdo",1,
"ICD-10","C40.00","C4000","Neoplasia maligna de escápula y huesos largos de extremidad superior no especificada",1,
"ICD-10","C40.01","C4001","Neoplasia maligna de escápula y huesos largos de extremidad superior derecha",1,
"ICD-10","C40.02","C4002","Neoplasia maligna de escápula y huesos largos de extremidad superior izquierda",1,
"ICD-10","C40.10","C4010","Neoplasia maligna de huesos cortos de extremidad superior no especificada",1,
"ICD-10","C40.11","C4011","Neoplasia maligna de huesos cortos de extremidad superior derecha",1,
"ICD-10","C40.12","C4012","Neoplasia maligna de huesos cortos de extremidad superior izquierda",1,
"ICD-10","C40.20","C4020","Neoplasia maligna de huesos largos de extremidad inferior no especificada",1,
"ICD-10","C40.21","C4021","Neoplasia maligna de huesos largos de extremidad inferior derecha",1,
"ICD-10","C40.22","C4022","Neoplasia maligna de huesos largos de extremidad inferior izquierda",1,
"ICD-10","C40.30","C4030","Neoplasia maligna de huesos cortos de extremidad inferior no especificada",1,
"ICD-10","C40.31","C4031","Neoplasia maligna de huesos cortos de extremidad inferior derecha",1,
"ICD-10","C40.32","C4032","Neoplasia maligna de huesos cortos de extremidad inferior izquierda",1,
"ICD-10","C40.80","C4080","Neoplasia maligna de localizaciones contiguas de hueso y cartílago articular de extremidad no especificada",1,
"ICD-10","C40.81","C4081","Neoplasia maligna de localizaciones contiguas de hueso y cartílago articular de extremidad derecha",1,
"ICD-10","C40.82","C4082","Neoplasia maligna de localizaciones contiguas de hueso y cartílago articular de extremidad izquierda",1,
"ICD-10","C40.90","C4090","Neoplasia maligna de huesos y cartílago articular no especificados de extremidad no especificada",1,
"ICD-10","C40.91","C4091","Neoplasia maligna de huesos y cartílago articular no especificados de extremidad derecha",1,
"ICD-10","C40.92","C4092","Neoplasia maligna de huesos y cartílago articular no especificados de extremidad izquierda",1,
"ICD-10","C43.10","C4310","Melanoma maligno de párpado no especificado incluyendo canto",1,
"ICD-10","C43.11","C4311","Melanoma maligno de párpado derecho incluyendo canto",1,
"ICD-10","C43.12","C4312","Melanoma maligno de párpado izquierdo incluyendo canto",1,
"ICD-10","C43.20","C4320","Melanoma maligno de oído y conducto auditivo externo no especificado",1,
"ICD-10","C43.21","C4321","Melanoma maligno de oído y conducto auditivo externo lado derecho",1,
"ICD-10","C43.22","C4322","Melanoma maligno de oído y conducto auditivo externo lado izquierdo",1,
"ICD-10","C43.30","C4330","Melanoma maligno de parte no especificada de la cara",1,
"ICD-10","C43.31","C4331","Melanoma maligno de nariz",1,
"ICD-10","C43.39","C4339","Melanoma maligno de otras partes de la cara",1,
"ICD-10","C43.51","C4351","Melanoma maligno de piel de ano",1,
"ICD-10","C43.52","C4352","Melanoma maligno de piel de mama",1,
"ICD-10","C43.59","C4359","Melanoma maligno de otra parte de tronco",1,
"ICD-10","C43.60","C4360","Melanoma maligno de extremidad superior no especificada incluyendo hombro",1,
"ICD-10","C43.61","C4361","Melanoma maligno de extremidad superior derecha incluyendo hombro",1,
"ICD-10","C43.62","C4362","Melanoma maligno de extremidad superior izquierda incluyendo hombro",1,
"ICD-10","C43.70","C4370","Melanoma maligno de extremidad inferior no especificada incluyendo cadera",1,
"ICD-10","C43.71","C4371","Melanoma maligno de extremidad inferior derecha incluyendo cadera",1,
"ICD-10","C43.72","C4372","Melanoma maligno de extremidad inferior izquierda incluyendo cadera",1,
"ICD-10","C4A.10","C4A10","Carcinoma de células de Merkel de párpado no especificado incluyendo canto",1,
"ICD-10","C4A.11","C4A11","Carcinoma de células de Merkel de párpado derecho incluyendo canto",1,
"ICD-10","C4A.12","C4A12","Carcinoma de células de Merkel de párpado izquierdo incluyendo canto",1,
"ICD-10","C4A.20","C4A20","Carcinoma de células de Merkel de oído y conducto auditivo externo no especificado",1,
"ICD-10","C4A.21","C4A21","Carcinoma de células de Merkel de oído y conducto auditivo externo derecho",1,
"ICD-10","C4A.22","C4A22","Carcinoma de células de Merkel de oído y conducto auditivo externo izquierdo",1,
"ICD-10","C4A.30","C4A30","Carcinoma de células de Merkel de parte no especificada de cara",1,
"ICD-10","C4A.31","C4A31","Carcinoma de células de Merkel de nariz",1,
"ICD-10","C4A.39","C4A39","Carcinoma de células de Merkel de otras partes de cara",1,
"ICD-10","C4A.51","C4A51","Carcinoma de células de Merkel de piel de ano",1,
"ICD-10","C4A.52","C4A52","Carcinoma de células de Merkel de piel de mama",1,
"ICD-10","C4A.59","C4A59","Carcinoma de células de Merkel de otra parte de tronco",1,
"ICD-10","C4A.60","C4A60","Carcinoma de células de Merkel de extremidad superior no especificada incluyendo hombro",1,
"ICD-10","C4A.61","C4A61","Carcinoma de células de Merkel de extremidad superior derecha incluyendo hombro",1,
"ICD-10","C4A.62","C4A62","Carcinoma de células de Merkel de extremidad superior izquierda incluyendo hombro",1,
"ICD-10","C4A.70","C4A70","Carcinoma de células de Merkel de extremidad inferior no especificada incluyendo cadera",1,
"ICD-10","C4A.71","C4A71","Carcinoma de células de Merkel de extremidad inferior derecha incluyendo cadera",1,
"ICD-10","C4A.72","C4A72","Carcinoma de células de Merkel de extremidad inferior izquierda incluyendo cadera",1,
"ICD-10","C44.00","C4400","Neoplasia maligna no especificada de piel de labio",1,
"ICD-10","C44.02","C4402","Carcinoma de células escamosas de piel de labio",1,
"ICD-10","C44.09","C4409","Otra neoplasia maligna especificada de piel de labio",1,
"ICD-10","C44.10","C4410","Neoplasia maligna no especificada de piel de párpado incluyendo canto",1,
"ICD-10","C44.11","C4411","Carcinoma basocelular de piel de párpado incluyendo canto",1,
"ICD-10","C44.12","C4412","Carcinoma de células escamosas de piel de párpado incluyendo canto",1,
"ICD-10","C44.13","C4413","Carcinoma de células sebáceas de piel de párpado incluyendo canto",1,
"ICD-10","C44.19","C4419","Otra neoplasia maligna especificada de piel de párpado incluyendo canto",1,
"ICD-10","C44.20","C4420","Neoplasia maligna no especificada de piel de oído y conducto auditivo externo",1,
"ICD-10","C44.21","C4421","Carcinoma basocelular de piel de oído y conducto auditivo externo",1,
"ICD-10","C44.22","C4422","Carcinoma de células escamosas de piel de oído y conducto auditivo externo",1,
"ICD-10","C44.29","C4429","Otra neoplasia maligna especificada de piel de oído y conducto auditivo externo",1,
"ICD-10","C44.30","C4430","Neoplasia maligna no especificada de piel de otras partes y las no especificadas de cara",1,
"ICD-10","C44.31","C4431","Carcinoma basocelular de piel de otras partes y las no especificadas de cara",1,
"ICD-10","C44.32","C4432","Carcinoma de células escamosas de piel de otras partes y las no especificadas de cara",1,
"ICD-10","C44.39","C4439","Otra neoplasia maligna especificada de piel de otras partes y las no especificadas de cara",1,
"ICD-10","C44.40","C4440","Neoplasia maligna no especificada de piel de cuero cabelludo y cuello",1,
"ICD-10","C44.41","C4441","Carcinoma basocelular de piel de cuero cabelludo y cuello",1,
"ICD-10","C44.42","C4442","Carcinoma de células escamosas de piel de cuero cabelludo y cuello",1,
"ICD-10","C44.49","C4449","Otra neoplasia maligna especificada de piel de cuero cabelludo y cuello",1,
"ICD-10","C44.50","C4450","Neoplasia maligna no especificada de piel de tronco",1,
"ICD-10","C44.51","C4451","Carcinoma basocelular de piel del tronco",1,
"ICD-10","C44.52","C4452","Carcinoma de células escamosas de piel del tronco",1,
"ICD-10","C44.59","C4459","Otra neoplasia maligna especificada de piel del tronco",1,
"ICD-10","C44.60","C4460","Neoplasia maligna no especificada de piel de extremidad superior incluyendo hombro",1,
"ICD-10","C44.61","C4461","Carcinoma basocelular de piel de extremidad superior incluyendo hombro",1,
"ICD-10","C44.62","C4462","Carcinoma de células escamosas de piel de extremidad superior incluyendo hombro",1,
"ICD-10","C44.69","C4469","Otra neoplasia maligna especificada de piel de extremidad superior incluyendo hombro",1,
"ICD-10","C44.70","C4470","Neoplasia maligna no especificada de piel de extremidad inferior incluyendo cadera",1,
"ICD-10","C44.71","C4471","Carcinoma basocelular de piel de extremidad inferior incluyendo cadera",1,
"ICD-10","C44.72","C4472","Carcinoma de células escamosas de piel de extremidad inferior incluyendo cadera",1,
"ICD-10","C44.79","C4479","Otra neoplasia maligna especificada de piel de extremidad inferior incluyendo cadera",1,
"ICD-10","C44.80","C4480","Neoplasia maligna no especificada de localizaciones contiguas de piel",1,
"ICD-10","C44.81","C4481","Carcinoma basocelular de localizaciones contiguas de piel",1,
"ICD-10","C44.82","C4482","Carcinoma de células escamosas de localizaciones contiguas de piel",1,
"ICD-10","C44.89","C4489","Otra neoplasia maligna especificada de localizaciones contiguas de piel",1,
"ICD-10","C44.90","C4490","Neoplasia maligna no especificada de piel localización no especificada",1,
"ICD-10","C44.91","C4491","Carcinoma basocelular de piel localización no especificada",1,
"ICD-10","C44.92","C4492","Carcinoma de células escamosas de piel localización no especificada",1,
"ICD-10","C44.99","C4499","Otra neoplasia maligna especificada de piel localización no especificada",1,
"ICD-10","C46.50","C4650","Sarcoma de Kaposi de pulmón no especificado",1,
"ICD-10","C46.51","C4651","Sarcoma de Kaposi de pulmón derecho",1,
"ICD-10","C46.52","C4652","Sarcoma de Kaposi de pulmón izquierdo",1,
