"encoding","code","code_clean","description","lymph_bl","observations"
"ICD-10","C86.6","C866","Proliferaciones cutáneas primarias de células T CD30 positivas",1,
"ICD-10","C86","C86","Otros tipos especificados de linfoma de células T/NK",1,
"ICD-10","C81.00","C8100","Linfoma de Hodgkin de predominio linfocítico nodular localización no especificada",1,
"ICD-10","C81.01","C8101","Linfoma de Hodgkin de predominio linfocítico nodular ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C81.02","C8102","Linfoma de Hodgkin de predominio linfocítico nodular ganglios linfáticos intratorácicos",1,
"ICD-10","C81.03","C8103","Linfoma de Hodgkin de predominio linfocítico nodular ganglios linfáticos intraabdominales",1,
"ICD-10","C81.04","C8104","Linfoma de Hodgkin de predominio linfocítico nodular ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C81.05","C8105","Linfoma de Hodgkin de predominio linfocítico nodular ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C81.06","C8106","Linfoma de Hodgkin de predominio linfocítico nodular ganglios linfáticos intrapélvicos",1,
"ICD-10","C81.07","C8107","Linfoma de Hodgkin de predominio linfocítico nodular bazo",1,
"ICD-10","C81.08","C8108","Linfoma de Hodgkin de predominio linfocítico nodular ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C81.09","C8109","Linfoma de Hodgkin de predominio linfocítico nodular localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C81.10","C8110","Linfoma de Hodgkin tipo esclerosis nodular localización no especificada",1,
"ICD-10","C81.11","C8111","Linfoma de Hodgkin tipo esclerosis nodular ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C81.12","C8112","Linfoma de Hodgkin tipo esclerosis nodular ganglios linfáticos intratorácicos",1,
"ICD-10","C81.13","C8113","Linfoma de Hodgkin tipo esclerosis nodular ganglios linfáticos intraabdominales",1,
"ICD-10","C81.14","C8114","Linfoma de Hodgkin tipo esclerosis nodular ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C81.15","C8115","Linfoma de Hodgkin tipo esclerosis nodular ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C81.16","C8116","Linfoma de Hodgkin tipo esclerosis nodular ganglios linfáticos intrapélvicos",1,
"ICD-10","C81.17","C8117","Linfoma de Hodgkin tipo esclerosis nodular bazo",1,
"ICD-10","C81.18","C8118","Linfoma de Hodgkin tipo esclerosis nodular ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C81.19","C8119","Linfoma de Hodgkin tipo esclerosis nodular localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C81.20","C8120","Linfoma de Hodgkin de celularidad mixta localización no especificada",1,
"ICD-10","C81.21","C8121","Linfoma de Hodgkin de celularidad mixta ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C81.22","C8122","Linfoma de Hodgkin de celularidad mixta ganglios linfáticos intratorácicos",1,
"ICD-10","C81.23","C8123","Linfoma de Hodgkin de celularidad mixta ganglios linfáticos intraabdominales",1,
"ICD-10","C81.24","C8124","Linfoma de Hodgkin de celularidad mixta ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C81.25","C8125","Linfoma de Hodgkin de celularidad mixta ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C81.26","C8126","Linfoma de Hodgkin de celularidad mixta ganglios linfáticos intrapélvicos",1,
"ICD-10","C81.27","C8127","Linfoma de Hodgkin de celularidad mixta bazo",1,
"ICD-10","C81.28","C8128","Linfoma de Hodgkin de celularidad mixta ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C81.29","C8129","Linfoma de Hodgkin de celularidad mixta localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C81.30","C8130","Linfoma de Hodgkin con depleción linfocítica localización no especificada",1,
"ICD-10","C81.31","C8131","Linfoma de Hodgkin con depleción linfocítica ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C81.32","C8132","Linfoma de Hodgkin con depleción linfocítica ganglios linfáticos intratorácicos",1,
"ICD-10","C81.33","C8133","Linfoma de Hodgkin con depleción linfocítica ganglios linfáticos intraabdominales",1,
"ICD-10","C81.34","C8134","Linfoma de Hodgkin con depleción linfocítica ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C81.35","C8135","Linfoma de Hodgkin con depleción linfocítica ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C81.36","C8136","Linfoma de Hodgkin con depleción linfocítica ganglios linfáticos intrapélvicos",1,
"ICD-10","C81.37","C8137","Linfoma de Hodgkin con depleción linfocítica bazo",1,
"ICD-10","C81.38","C8138","Linfoma de Hodgkin con depleción linfocítica ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C81.39","C8139","Linfoma de Hodgkin con depleción linfocítica localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C81.40","C8140","Linfoma de Hodgkin rico en linfocitos no especificado",1,
"ICD-10","C81.41","C8141","Linfoma de Hodgkin rico en linfocitos ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C81.42","C8142","Linfoma de Hodgkin rico en linfocitos ganglios linfáticos intratorácicos",1,
"ICD-10","C81.43","C8143","Linfoma de Hodgkin rico en linfocitos ganglios linfáticos intraabdominales",1,
"ICD-10","C81.44","C8144","Linfoma de Hodgkin rico en linfocitos ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C81.45","C8145","Linfoma de Hodgkin rico en linfocitos ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C81.46","C8146","Linfoma de Hodgkin rico en linfocitos ganglios linfáticos intrapélvicos",1,
"ICD-10","C81.47","C8147","Linfoma de Hodgkin rico en linfocitos bazo",1,
"ICD-10","C81.48","C8148","Linfoma de Hodgkin rico en linfocitos ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C81.49","C8149","Linfoma de Hodgkin rico en linfocitos localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C81.70","C8170","Otros tipos de linfoma de Hodgkin localización no especificada",1,
"ICD-10","C81.71","C8171","Otros tipos de linfoma de Hodgkin ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C81.72","C8172","Otros tipos de linfoma de Hodgkin ganglios linfáticos intratorácicos",1,
"ICD-10","C81.73","C8173","Otros tipos de linfoma de Hodgkin ganglios linfáticos intraabdominales",1,
"ICD-10","C81.74","C8174","Otros tipos de linfoma de Hodgkin ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C81.75","C8175","Otros tipos de linfoma de Hodgkin ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C81.76","C8176","Otros tipos de linfoma de Hodgkin ganglios linfáticos intrapélvicos",1,
"ICD-10","C81.77","C8177","Otros tipos de linfoma de Hodgkin bazo",1,
"ICD-10","C81.78","C8178","Otros tipos de linfoma de Hodgkin ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C81.79","C8179","Otros tipos de linfoma de Hodgkin localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C81.90","C8190","Linfoma de Hodgkin no especificado localización no especificada",1,
"ICD-10","C81.91","C8191","Linfoma de Hodgkin no especificado ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C81.92","C8192","Linfoma de Hodgkin no especificado ganglios linfáticos intratorácicos",1,
"ICD-10","C81.93","C8193","Linfoma de Hodgkin no especificado ganglios linfáticos intraabdominales",1,
"ICD-10","C81.94","C8194","Linfoma de Hodgkin no especificado ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C81.95","C8195","Linfoma de Hodgkin no especificado ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C81.96","C8196","Linfoma de Hodgkin no especificado ganglios linfáticos intrapélvicos",1,
"ICD-10","C81.97","C8197","Linfoma de Hodgkin no especificado bazo",1,
"ICD-10","C81.98","C8198","Linfoma de Hodgkin no especificado ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C81.99","C8199","Linfoma de Hodgkin no especificado localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C81.0","C810","Linfoma de Hodgkin de predominio linfocítico nodular",1,
"ICD-10","C81.1","C811","Linfoma de Hodgkin tipo esclerosis nodular",1,
"ICD-10","C81.2","C812","Linfoma de Hodgkin de celularidad mixta",1,
"ICD-10","C81.3","C813","Linfoma de Hodgkin con depleción linfocítica",1,
"ICD-10","C81.4","C814","Linfoma de Hodgkin rico en linfocitos",1,
"ICD-10","C81.7","C817","Otros tipos de linfoma de Hodgkin",1,
"ICD-10","C81.9","C819","Linfoma de Hodgkin no especificado",1,
"ICD-10","C81","C81","Linfoma de Hodgkin",1,
"ICD-10","C83.00","C8300","Linfoma de células B de células pequeñas localización no especificada",1,
"ICD-10","C83.01","C8301","Linfoma de células B de células pequeñas ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C83.02","C8302","Linfoma de células B de células pequeñas ganglios linfáticos intratorácicos",1,
"ICD-10","C83.03","C8303","Linfoma de células B de células pequeñas ganglios linfáticos intraabdominales",1,
"ICD-10","C83.04","C8304","Linfoma de células B de células pequeñas ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C83.05","C8305","Linfoma de células B de células pequeñas ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C83.06","C8306","Linfoma de células B de células pequeñas ganglios linfáticos intrapélvicos",1,
"ICD-10","C83.07","C8307","Linfoma de células B de células pequeñas bazo",1,
"ICD-10","C83.08","C8308","Linfoma de células B de células pequeñas ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C83.09","C8309","Linfoma de células B de células pequeñas localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C83.10","C8310","Linfoma de células del manto localización no especificada",1,
"ICD-10","C83.11","C8311","Linfoma de células del manto ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C83.12","C8312","Linfoma de células del manto ganglios linfáticos intratorácicos",1,
"ICD-10","C83.13","C8313","Linfoma de células del manto ganglios linfáticos intraabdominales",1,
"ICD-10","C83.14","C8314","Linfoma de manto ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C83.15","C8315","Linfoma de células del manto ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C83.16","C8316","Linfoma de células del manto ganglios linfáticos intrapélvicos",1,
"ICD-10","C83.17","C8317","Linfoma de células del manto bazo",1,
"ICD-10","C83.18","C8318","Linfoma de células del manto ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C83.19","C8319","Linfoma de células del manto localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C83.30","C8330","Linfoma difuso de células B grandes localización no especificada",1,
"ICD-10","C83.31","C8331","Linfoma difuso de células B grandes ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C83.32","C8332","Linfoma difuso de células B grandes ganglios linfáticos intratorácicos",1,
"ICD-10","C83.33","C8333","Linfoma difuso de células B grandes ganglios linfáticos intraabdominales",1,
"ICD-10","C83.34","C8334","Linfoma difuso de células B grandes ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C83.35","C8335","Linfoma difuso de células B grandes ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C83.36","C8336","Linfoma difuso de células B grandes ganglios linfáticos intrapélvicos",1,
"ICD-10","C83.37","C8337","Linfoma difuso de células B grandes bazo",1,
"ICD-10","C83.38","C8338","Linfoma difuso de células B grandes ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C83.39","C8339","Linfoma difuso de células B grandes localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C83.50","C8350","Linfoma linfoblástico (difuso) localización no especificada",1,
"ICD-10","C83.51","C8351","Linfoma linfoblástico (difuso) ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C83.52","C8352","Linfoma linfoblástico (difuso) ganglios linfáticos intratorácicos",1,
"ICD-10","C83.53","C8353","Linfoma linfoblástico (difuso) ganglios linfáticos intraabdominales",1,
"ICD-10","C83.54","C8354","Linfoma linfoblástico (difuso) ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C83.55","C8355","Linfoma linfoblástico (difuso) ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C83.56","C8356","Linfoma linfoblástico (difuso) ganglios linfáticos intrapélvicos",1,
"ICD-10","C83.57","C8357","Linfoma linfoblástico (difuso) bazo",1,
"ICD-10","C83.58","C8358","Linfoma linfoblástico (difuso) ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C83.59","C8359","Linfoma linfoblástico (difuso) localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C83.70","C8370","Linfoma de Burkitt localización no especificada",1,
"ICD-10","C83.71","C8371","Linfoma de Burkitt ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C83.72","C8372","Linfoma de Burkitt ganglios linfáticos intratorácicos",1,
"ICD-10","C83.73","C8373","Linfoma de Burkitt ganglios linfáticos intraabdominales",1,
"ICD-10","C83.74","C8374","Linfoma de Burkitt ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C83.75","C8375","Linfoma de Burkitt ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C83.76","C8376","Linfoma de Burkitt ganglios linfáticos intrapélvicos",1,
"ICD-10","C83.77","C8377","Linfoma de Burkitt bazo",1,
"ICD-10","C83.78","C8378","Linfoma de Burkitt ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C83.79","C8379","Linfoma de Burkitt localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C83.80","C8380","Otros tipos de linfoma no folicular localización no especificada",1,
"ICD-10","C83.81","C8381","Otros tipos de linfoma no folicular ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C83.82","C8382","Otros tipos de linfoma no folicular ganglios linfáticos intratorácicos",1,
"ICD-10","C83.83","C8383","Otros tipos de linfoma no folicular ganglios linfáticos intraabdominales",1,
"ICD-10","C83.84","C8384","Otros tipos de linfoma no folicular ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C83.85","C8385","Otros tipos de linfoma no folicular ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C83.86","C8386","Otros tipos de linfoma no folicular ganglios linfáticos intrapélvicos",1,
"ICD-10","C83.87","C8387","Otros tipos de linfoma no folicular bazo",1,
"ICD-10","C83.88","C8388","Otros tipos de linfoma no folicular ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C83.89","C8389","Otros tipos de linfoma no folicular localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C83.90","C8390","Linfoma (difuso) no folicular no especificado localización no especificada",1,
"ICD-10","C83.91","C8391","Linfoma (difuso) no folicular no especificado ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C83.92","C8392","Linfoma (difuso) no folicular no especificado ganglios linfáticos intratorácicos",1,
"ICD-10","C83.93","C8393","Linfoma (difuso) no folicular no especificado ganglios linfáticos intraabdominales",1,
"ICD-10","C83.94","C8394","Linfoma (difuso) no folicular no especificado ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C83.95","C8395","Linfoma (difuso) no folicular no especificado ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C83.96","C8396","Linfoma (difuso) no folicular no especificado ganglios linfáticos intrapélvicos",1,
"ICD-10","C83.97","C8397","Linfoma (difuso) no folicular no especificado bazo",1,
"ICD-10","C83.98","C8398","Linfoma (difuso) no folicular no especificado ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C83.99","C8399","Linfoma (difuso) no folicular no especificado localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C83.0","C830","Linfoma de células B de células pequeñas",1,
"ICD-10","C83.1","C831","Linfoma de células del manto",1,
"ICD-10","C83.3","C833","Linfoma difuso de células B grandes",1,
"ICD-10","C83.5","C835","Linfoma linfoblástico (difuso)",1,
"ICD-10","C83.7","C837","Linfoma de Burkitt",1,
"ICD-10","C83.8","C838","Otros tipos de linfoma no folicular",1,
"ICD-10","C83.9","C839","Linfoma (difuso) no folicular no especificado",1,
"ICD-10","C83","C83","Linfoma no folicular",1,
"ICD-10","C85.10","C8510","Linfoma de células B no especificado localización no especificada",1,
"ICD-10","C85.11","C8511","Linfoma de células B no especificado ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C85.12","C8512","Linfoma de células B no especificado ganglios linfáticos intratorácicos",1,
"ICD-10","C85.13","C8513","Linfoma de células B no especificado ganglios linfáticos intraabdominales",1,
"ICD-10","C85.14","C8514","Linfoma de células B no especificado ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C85.15","C8515","Linfoma de células B no especificado ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C85.16","C8516","Linfoma de células B no especificador ganglios linfáticos intrapélvicos",1,
"ICD-10","C85.17","C8517","Linfoma de células B no especificado bazo",1,
"ICD-10","C85.18","C8518","Linfoma de células B no especificado ganglios linfáticos de localizaciones múltiples",1,
"ICD-10","C85.19","C8519","Linfoma de células B no especificado localizaciones extraganglionares y de órganos sólidos",1,
"ICD-10","C85.20","C8520","Linfoma de células B grandes mediastínico (tímico) localización no especificada",1,
"ICD-10","C85.21","C8521","Linfoma de células B grandes mediastínico (tímico) ganglios linfáticos de cabeza cara y cuello",1,
"ICD-10","C85.22","C8522","Linfoma de células B grandes mediastínico (tímico) ganglios linfáticos intratorácicos",1,
"ICD-10","C85.23","C8523","Linfoma de células B grandes mediastínico (tímico) ganglios linfáticos intraabdominales",1,
"ICD-10","C85.24","C8524","Linfoma de células B grandes mediastínico (tímico) ganglios linfáticos de axila y extremidad superior",1,
"ICD-10","C85.25","C8525","Linfoma de células B grandes mediastínico (tímico) ganglios linfáticos de región inguinal y extremidad inferior",1,
"ICD-10","C85.26","C8526","Linfoma de células B grandes mediastínico (tímico) ganglios linfáticos intrapélvicos",1,
"ICD-10","C85.27","C8527","Linfoma de células B grandes mediastínico (tímico) bazo",1,
